pid,GN,Description,sig126,sig127N,sig127C,sig128N,sig128C,sig129N,sig129C,sig130N,sig130C,sig131N,sig131C
P83917,Cbx1,Chromobox protein homolog 1 OS=Mus musculus OX=10090 GN=Cbx1 PE=1 SV=1,124111.0317,133767.0178,133136.2081,129637.0889,132144.6399,126948.704,130127.1715,121031.6851,124041.6052,128327.4201,127883.7327
P23198,Cbx3,Chromobox protein homolog 3 OS=Mus musculus OX=10090 GN=Cbx3 PE=1 SV=2,216387.3705,213517.4303,232761.8796,218768.047,219437.0157,215587.1953,215455.0299,208448.8601,212635.0048,208880.041,220166.4413
Q9DCC5,Cbx3,Cbx3 protein OS=Mus musculus OX=10090 GN=Cbx3 PE=1 SV=1,209862.5249,214330.9338,233812.6774,224112.8506,215565.142,220023.4847,215189.3126,210763.7361,201421.4039,218133.8613,219424.6424
Q61686,Cbx5,Chromobox protein homolog 5 OS=Mus musculus OX=10090 GN=Cbx5 PE=1 SV=1,215961.6973,186990.862,212048.6051,221870.7118,205927.6641,215233.313,204026.0642,216396.0407,172104.2307,207280.0042,216152.0527
Q8VDS3,Cbx7,Chromobox protein homolog 7 OS=Mus musculus OX=10090 GN=Cbx7 PE=1 SV=1,50128.97996,54719.39318,56689.63324,50888.30099,43578.94385,44054.84689,53303.11006,45808.0846,46349.10012,41598.70169,46429.40696
Q8K1A6,Cc2d1a,Coiled-coil and C2 domain-containing protein 1A OS=Mus musculus OX=10090 GN=Cc2d1a PE=1 SV=2,179323.8729,178758.0808,182303.8556,193311.3947,174336.9632,181758.8706,177959.7465,190790.5579,171609.8979,192880.1377,183371.6677
E9PX94,Cc2d1a,Coiled-coil and C2 domain-containing protein 1A OS=Mus musculus OX=10090 GN=Cc2d1a PE=1 SV=2,172761.7354,175266.0469,184976.7462,196441.734,172827.5876,188018.9618,180412.8052,196130.1444,160356.4422,198778.4246,182938.2833
Q8BRN9,Cc2d1b,Coiled-coil and C2 domain-containing protein 1B OS=Mus musculus OX=10090 GN=Cc2d1b PE=1 SV=1,122580.0527,87271.39431,88590.58381,95846.34023,122544.5912,94239.51673,92706.20272,98436.41389,107987.691,97808.08265,99563.04505
Q8CFW7,Cc2d2a,Coiled-coil and C2 domain-containing protein 2A OS=Mus musculus OX=10090 GN=Cc2d2a PE=1 SV=1,9585.84391,7997.44195,7324.320037,10328.87382,11105.38842,9784.984546,7607.491216,9797.940256,15720.9392,8740.67163,9750.107638
Q8CH18,Ccar1,Cell division cycle and apoptosis regulator protein 1 OS=Mus musculus OX=10090 GN=Ccar1 PE=1 SV=1,313469.0087,309540.7892,337979.2511,346624.4115,297530.1179,317692.2692,338263.0421,316084.442,238001.0755,306267.6069,315448.7194
Q8VDP4,Ccar2,Cell cycle and apoptosis regulator protein 2 OS=Mus musculus OX=10090 GN=Ccar2 PE=1 SV=2,430710.4577,435615.9384,477716.3356,482423.3541,396620.8909,440653.4801,487663.7059,478565.1601,329445.2717,431255.2895,441114.3185
Q8VE99,Ccdc115,Coiled-coil domain-containing protein 115 OS=Mus musculus OX=10090 GN=Ccdc115 PE=1 SV=1,23071.69088,25511.50538,21225.28841,23157.08739,24632.80509,27354.87812,24471.61718,22108.67891,21622.00125,27985.78614,25293.24051
Q8R344,Ccdc12,Coiled-coil domain-containing protein 12 OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=2,94950.72441,106687.4881,101330.9431,102067.1398,97385.42701,112460.2791,111786.6688,102380.3719,79243.7882,118945.8667,98539.49031
Q9D8X2,Ccdc124,Coiled-coil domain-containing protein 124 OS=Mus musculus OX=10090 GN=Ccdc124 PE=1 SV=1,211062.8737,202032.8757,165376.4208,170326.1539,198281.5075,169476.4782,175608.5181,168974.0516,195196.8606,194108.9876,177605.5289
Q3TC33,Ccdc127,Coiled-coil domain-containing protein 127 OS=Mus musculus OX=10090 GN=Ccdc127 PE=1 SV=2,139568.2916,83133.40602,140309.719,124479.5782,133394.1083,107497.4436,113372.2055,113910.8025,117991.508,95105.69365,121572.2892
Q8C7V8,Ccdc134,Coiled-coil domain-containing protein 134 OS=Mus musculus OX=10090 GN=Ccdc134 PE=1 SV=1,19944.04365,20822.31909,22756.12996,18255.73383,20480.37959,20999.28051,19899.47685,21392.61582,23644.60776,19896.04473,22337.02346
Q3TVA9,Ccdc136,Coiled-coil domain-containing protein 136 OS=Mus musculus OX=10090 GN=Ccdc136 PE=1 SV=2,112032.4174,80618.7349,144369.1285,116886.6162,108073.0008,98941.84231,133598.3197,113889.4463,101307.6809,91658.52472,116267.857
E9Q8Q6,Ccdc141,Coiled-coil domain-containing 141 OS=Mus musculus OX=10090 GN=Ccdc141 PE=1 SV=2,59250.63281,54337.33588,69086.97855,58224.75469,60490.86509,61344.04712,69041.08821,62022.78753,53305.73425,59567.96996,60046.30808
D6RJ38,Ccdc141,Coiled-coil domain-containing 141 OS=Mus musculus OX=10090 GN=Ccdc141 PE=1 SV=1,22387.24287,21677.27965,25609.89219,20310.15386,23897.02478,25007.37114,30104.94538,23391.20587,27049.97174,19728.86601,24743.06128
F6V035,Ccdc149,Coiled-coil domain-containing 149 OS=Mus musculus OX=10090 GN=Ccdc149 PE=1 SV=1,27082.14255,28022.40018,28198.17808,29025.72657,27115.47765,30132.82289,28213.89149,29543.10795,23961.14441,30062.58154,30437.61481
S4R181,Ccdc166,Coiled-coil domain-containing 166 OS=Mus musculus OX=10090 GN=Ccdc166 PE=4 SV=1,1504640.889,397346.9508,2305501.752,1925678.485,982733.5269,1263925.638,1986833.467,1875123.248,477445.5229,1106312.668,1543614.989
Q9D162,Ccdc167,Coiled-coil domain-containing protein 167 OS=Mus musculus OX=10090 GN=Ccdc167 PE=1 SV=2,15358.86136,19443.54746,17018.74921,16759.24959,21586.76847,20592.00841,17116.41925,14821.7103,19112.22379,19951.73383,16871.755
Q3UHB8,Ccdc177,Coiled-coil domain-containing protein 177 OS=Mus musculus OX=10090 GN=Ccdc177 PE=1 SV=1,451196.0871,389203.804,422558.8566,312608.1875,370750.1053,358836.9946,451969.8346,335530.6121,335955.8414,367817.9872,353501.8296
Q8CDV0,Ccdc178,Coiled-coil domain-containing protein 178 OS=Mus musculus OX=10090 GN=Ccdc178 PE=2 SV=2,54633.21783,31725.7252,39906.38062,40814.29298,54895.12466,45961.61814,51032.75756,47373.42313,62518.76135,45086.14267,55739.94789
Q8BMK5,Ccdc184,Coiled-coil domain-containing protein 184 OS=Mus musculus OX=10090 GN=Ccdc184 PE=2 SV=1,122718.2134,159942.6731,167917.3042,158703.7249,123115.4713,133439.9577,166908.1885,155345.9596,118916.6425,142893.2398,131809.431
Q8C9S4,Ccdc186,Coiled-coil domain-containing protein 186 OS=Mus musculus OX=10090 GN=Ccdc186 PE=1 SV=2,86733.71852,83231.3346,88968.32846,92926.11693,81699.63822,90638.2008,91210.06669,91089.92052,66015.67198,91751.33058,89271.44357
J3QQ27,Ccdc191,Coiled-coil domain-containing 191 OS=Mus musculus OX=10090 GN=Ccdc191 PE=1 SV=1,32343.62843,27541.4758,28727.78277,30731.60233,33680.99834,29494.69499,27751.27426,28038.78316,55992.78626,30375.57946,39326.49527
Q9JIG7,Ccdc22,Coiled-coil domain-containing protein 22 OS=Mus musculus OX=10090 GN=Ccdc22 PE=1 SV=1,246895.4223,241368.9223,294694.8562,268469.0682,268108.1658,274739.3958,280770.4619,272990.2905,275255.5963,279618.1369,275600.9225
Q78PG9,Ccdc25,Coiled-coil domain-containing protein 25 OS=Mus musculus OX=10090 GN=Ccdc25 PE=1 SV=1,198647.7318,194396.8801,194923.0934,209573.9112,198907.5135,207100.0823,197167.7917,205323.5624,206985.832,218883.3927,200312.8972
Q8CEI3,Ccdc28a,Coiled-coil domain-containing 28A OS=Mus musculus OX=10090 GN=Ccdc28a PE=1 SV=1,37988.29682,35089.53075,42220.6664,39384.69825,36950.11185,38169.74652,48598.33765,42748.97835,33457.46875,43429.50926,42106.27386
Q3UFK1,Ccdc28a,Coiled-coil domain-containing 28A OS=Mus musculus OX=10090 GN=Ccdc28a PE=1 SV=1,44477.12224,45191.45108,48781.75841,45147.24832,42478.3597,45456.26724,56587.73301,49115.96049,36670.75115,48609.49881,46943.772
Q8CEG5,Ccdc28b,Coiled-coil domain-containing protein 28B OS=Mus musculus OX=10090 GN=Ccdc28b PE=1 SV=3,8997.98721,9505.959367,10373.90214,8683.90258,9427.538178,9218.598895,11040.40548,8937.372011,7763.116499,10454.40016,9111.072637
Q8BVF4,Ccdc30,Coiled-coil domain-containing protein 30 OS=Mus musculus OX=10090 GN=Ccdc30 PE=1 SV=1,146805.7532,118908.2369,168128.1392,269722.7158,173935.9355,150424.7772,137724.6822,202367.2829,166183.1552,167646.7029,176703.3153
A0A571BEJ8,Ccdc30,Coiled-coil domain-containing protein 30 OS=Mus musculus OX=10090 GN=Ccdc30 PE=1 SV=1,146805.7532,118908.2369,168128.1392,269722.7158,173935.9355,150424.7772,137724.6822,202367.2829,166183.1552,167646.7029,176703.3153
Q8BS39,Ccdc32,Coiled-coil domain-containing protein 32 OS=Mus musculus OX=10090 GN=Ccdc32 PE=2 SV=2,15360.56628,19909.4473,11503.00383,13087.36428,15207.10393,17677.82328,12509.78041,17512.51786,12754.64119,13921.49576,14522.60916
Q8BI79,Ccdc40,Coiled-coil domain-containing protein 40 OS=Mus musculus OX=10090 GN=Ccdc40 PE=1 SV=1,510363.9939,401970.984,373512.7897,693576.6246,429658.8518,377000.1742,313783.7863,557582.8088,482421.6183,373365.7808,444943.7603
Q9CR29,Ccdc43,Coiled-coil domain-containing protein 43 OS=Mus musculus OX=10090 GN=Ccdc43 PE=1 SV=1,185301.7495,166350.2225,166787.7867,163537.7886,183706.973,186618.1419,164947.237,161126.3505,192509.6553,204301.1448,187632.5223
Q9D024,Ccdc47,PAT complex subunit CCDC47 OS=Mus musculus OX=10090 GN=Ccdc47 PE=1 SV=2,211681.5122,195944.3553,215520.2208,209000.9037,216178.3532,198850.8862,204095.9105,202609.4815,201367.8886,202203.2344,211511.1005
Q810U5,Ccdc50,Coiled-coil domain-containing protein 50 OS=Mus musculus OX=10090 GN=Ccdc50 PE=1 SV=1,92546.46255,85734.25993,84582.64788,74370.48437,89378.87525,73792.84335,83275.13637,75396.36649,76362.70235,75275.4591,82534.43626
Q3URS9,Ccdc51,Mitochondrial potassium channel OS=Mus musculus OX=10090 GN=Ccdc51 PE=1 SV=1,180751.4829,193024.7304,203519.0168,183668.1912,169953.9768,183584.2503,210258.0981,181961.2754,154224.6783,188740.1224,188617.5495
F8WJI3,Ccdc58,Coiled-coil domain-containing protein 58 OS=Mus musculus OX=10090 GN=Ccdc58 PE=1 SV=1,153452.9697,177531.9929,189671.0411,171929.9656,155818.8784,161714.6391,161516.0025,148156.731,155122.5973,161784.6062,162425.7656
Q32M26,NA,Uncharacterized protein C11orf87 homolog OS=Mus musculus OX=10090 PE=2 SV=1,24473.09845,22609.24967,29879.81817,19452.21459,20646.19133,14721.32244,33565.54664,20349.73363,15209.61858,17957.97698,23633.73065
D3YZP9,Ccdc6,Coiled-coil domain-containing protein 6 OS=Mus musculus OX=10090 GN=Ccdc6 PE=1 SV=1,409965.2804,443530.7719,366194.13,412278.2535,414437.2184,454230.5761,367088.6555,412855.5626,377040.3532,485077.8441,401052.392
E9Q9U8,Ccdc74a,Coiled-coil domain-containing 74A OS=Mus musculus OX=10090 GN=Ccdc74a PE=1 SV=1,128758.5774,86313.72204,103547.0051,133593.723,128148.1352,149466.3785,103038.3262,133915.6279,160887.9591,168725.2537,129803.1133
D3YZV8,Ccdc8,Coiled-coil domain-containing protein 8 homolog OS=Mus musculus OX=10090 GN=Ccdc8 PE=1 SV=2,49079.25342,54583.04924,35403.97697,42494.83862,45061.26484,42147.81406,40440.45652,44789.08335,34742.47239,51853.90935,42997.34782
Q5SP85,Ccdc85a,Coiled-coil domain-containing protein 85A OS=Mus musculus OX=10090 GN=Ccdc85a PE=1 SV=1,111543.3739,166061.9625,140632.3692,127223.954,111036.2837,144245.7715,137709.8031,124126.185,104410.704,139003.9175,134610.464
F6TRJ8,Ccdc85a,Coiled-coil domain-containing protein 85A (Fragment) OS=Mus musculus OX=10090 GN=Ccdc85a PE=1 SV=1,25317.05076,31943.68967,33450.73883,26981.98708,26093.31762,31726.19471,30821.11818,29687.06644,20884.40472,33479.97297,31734.12283
Q6PDY0,Ccdc85b,Coiled-coil domain-containing protein 85B OS=Mus musculus OX=10090 GN=Ccdc85b PE=1 SV=1,32976.88651,38156.43208,29190.47295,29684.50987,29940.79183,37629.13309,32805.25911,34395.0028,26595.65503,40600.37538,31713.71038
E9Q6B2,Ccdc85c,Coiled-coil domain-containing protein 85C OS=Mus musculus OX=10090 GN=Ccdc85c PE=1 SV=1,64274.63769,51544.61806,53391.71879,67683.84304,68195.8889,57437.59433,56174.06821,58012.09954,46570.87906,56585.8242,56383.46132
Q8CDL9,Ccdc87,Coiled-coil domain-containing protein 87 OS=Mus musculus OX=10090 GN=Ccdc87 PE=1 SV=2,281701.9671,217013.6825,264065.8382,331343.6138,292467.2357,264507.7822,235595.4841,295370.1746,219866.6397,251172.0909,269497.7236
Q5SNZ0,Ccdc88a,Girdin OS=Mus musculus OX=10090 GN=Ccdc88a PE=1 SV=2,274591.8875,241045.2047,236486.4962,237515.3399,266912.2831,239004.5498,243115.5217,247215.8134,231726.6372,236736.7581,240365.7891
Q8VC31,Ccdc9,Coiled-coil domain-containing protein 9 OS=Mus musculus OX=10090 GN=Ccdc9 PE=1 SV=1,281564.9097,247050.4033,294879.5115,236551.1373,276434.6708,235169.6838,295121.5205,242549.0977,213347.5419,239428.8313,245523.8466
Q8C3X2,Ccdc90b,"Coiled-coil domain-containing protein 90B, mitochondrial OS=Mus musculus OX=10090 GN=Ccdc90b PE=1 SV=1",228679.856,262898.4984,239823.5879,161546.2083,223838.8987,208119.3111,215223.3298,155005.1616,203239.2405,225265.0799,213875.2959
Q9D8L5,Ccdc91,Coiled-coil domain-containing protein 91 OS=Mus musculus OX=10090 GN=Ccdc91 PE=1 SV=2,144635.4818,161878.1254,146965.5151,157781.8238,120143.9155,142101.5593,131989.7187,134912.1455,105034.3225,142607.7799,136741.0246
Q0P6I6,Ccdc91,Coiled-coil domain containing 91 OS=Mus musculus OX=10090 GN=Ccdc91 PE=2 SV=1,149579.2237,163164.4894,150952.7697,156360.1301,115781.971,139705.6759,132062.3061,134421.5959,101332.6088,144188.2544,139879.6187
Q8VDN4,Ccdc92,Coiled-coil domain-containing protein 92 OS=Mus musculus OX=10090 GN=Ccdc92 PE=1 SV=1,128945.9284,146081.4022,178577.9168,141322.3723,122203.1249,138936.0209,173193.0715,142757.8224,110540.2983,139440.5817,139755.9315
Q3UPT7,Ccdc92b,CCDC92 domain-containing protein OS=Mus musculus OX=10090 GN=Ccdc92b PE=2 SV=1,26389.79215,29616.79513,34675.98519,33596.57153,25581.8864,32464.53086,35962.05487,27768.23085,30627.52823,27006.53186,28110.70217
Q5SUE3,Ccdc92b,Coiled-coil domain-containing 92B OS=Mus musculus OX=10090 GN=Ccdc92b PE=1 SV=1,40057.04959,46512.52596,43799.5077,42197.92031,39769.37532,45597.69729,50325.81498,42492.28309,34563.94493,42261.36708,40767.22467
B9EKG1,Ccdc92b,Uncharacterized protein OS=Mus musculus OX=10090 GN=Ccdc92b PE=2 SV=1,52975.47516,61512.84703,57924.87854,55806.77813,52595.02574,60302.98549,66555.92433,56196.0731,45710.84053,55890.68653,53914.68219
Q7TQK5,Ccdc93,Coiled-coil domain-containing protein 93 OS=Mus musculus OX=10090 GN=Ccdc93 PE=1 SV=1,435669.31,451850.209,478856.2666,474273.2036,439875.3115,495511.1099,503899.7192,506990.6747,385979.7022,501244.0605,473123.5943
E9QAD4,Ccdc93,Coiled-coil domain-containing protein 93 OS=Mus musculus OX=10090 GN=Ccdc93 PE=1 SV=1,436782.2069,447923.8294,481276.4853,475780.2418,439840.8682,494241.829,498374.2852,508170.607,390720.1032,501534.1177,471480.751
Q9DBT3,Ccdc97,Coiled-coil domain-containing protein 97 OS=Mus musculus OX=10090 GN=Ccdc97 PE=1 SV=1,39806.89903,27085.32761,41458.02467,39708.44786,37242.66229,32894.90768,40241.30221,37226.88848,28570.36679,30970.38578,35748.75407
P09240,Cck,Cholecystokinin OS=Mus musculus OX=10090 GN=Cck PE=1 SV=3,79220.61501,169993.4951,74230.43107,65351.57541,66738.03592,72961.98544,73850.53298,59290.60667,81230.76308,81045.08232,72299.98517
Q8K2Y9,Ccm2,Cerebral cavernous malformations protein 2 homolog OS=Mus musculus OX=10090 GN=Ccm2 PE=1 SV=1,191196.9354,191029.6323,155807.0888,173350.4419,203289.9481,167691.2218,155775.9769,179958.6034,189152.3819,180796.2362,178771.1292
P29268,Ccn2,CCN family member 2 OS=Mus musculus OX=10090 GN=Ccn2 PE=1 SV=3,18612.39954,8579.333716,10287.96867,14332.91168,14725.05207,11655.4871,12660.79648,16059.63912,13730.08945,12491.59367,13980.41689
P25322,Ccnd1,G1/S-specific cyclin-D1 OS=Mus musculus OX=10090 GN=Ccnd1 PE=1 SV=1,15489.19947,15291.76391,15530.59246,15499.26785,14975.49806,12330.39773,13620.06423,11430.04889,12344.2392,14976.21425,15166.88574
Q61458,Ccnh,Cyclin-H OS=Mus musculus OX=10090 GN=Ccnh PE=1 SV=2,25812.61222,37208.1501,31971.07283,36767.08245,34138.68572,36440.41396,36014.34471,40966.7405,30556.02833,34593.77853,29035.01187
O88874,Ccnk,Cyclin-K OS=Mus musculus OX=10090 GN=Ccnk PE=1 SV=3,13922.21798,16812.57238,18655.2981,20032.68455,17579.24576,18885.82478,21262.03427,18863.27343,16733.66904,18584.27147,19643.01058
Q7TQK0,Ccnt2,Cyclin-T2 OS=Mus musculus OX=10090 GN=Ccnt2 PE=1 SV=1,167318.3879,85925.82039,66864.18459,42428.05037,162741.5671,75722.32518,76577.5517,53719.34274,137069.9803,69150.40585,90422.49173
Q8BGU5,Ccny,Cyclin-Y OS=Mus musculus OX=10090 GN=Ccny PE=1 SV=1,254148.4786,262387.2005,237189.5568,236674.9643,245707.9595,243820.2918,241940.8335,239741.7839,244935.3204,248031.8493,246988.4505
D3YUJ3,Ccnyl1,Cyclin Y-like 1 OS=Mus musculus OX=10090 GN=Ccnyl1 PE=1 SV=1,190030.901,124019.7696,173674.3692,160861.5475,193583.3489,136288.1648,169745.9739,156454.527,212761.6947,128783.4967,174058.5414
Q7TSH4,Ccp110,Centriolar coiled-coil protein of 110 kDa OS=Mus musculus OX=10090 GN=Ccp110 PE=1 SV=1,57312.92871,47785.74284,41321.38701,47565.07744,57144.271,53965.28056,43738.73547,45652.92402,53333.43887,47972.37688,47588.89408
Q9WU84,Ccs,Copper chaperone for superoxide dismutase OS=Mus musculus OX=10090 GN=Ccs PE=1 SV=1,212381.5301,181577.7324,188866.2805,196827.2025,209580.8147,192308.1906,185736.0344,196804.7952,179494.0278,190679.9845,194542.3204
Q8QZT2,Ccsap,"Centriole, cilia and spindle-associated protein OS=Mus musculus OX=10090 GN=Ccsap PE=1 SV=1",221481.1892,296353.9266,311957.927,260855.215,202905.5921,235651.111,306671.797,241700.366,140948.3294,263433.0079,254543.2039
Q3UHI0,Ccser2,Serine-rich coiled-coil domain-containing protein 2 OS=Mus musculus OX=10090 GN=Ccser2 PE=1 SV=1,29582.48427,23146.22955,25330.75796,22214.00413,27724.86609,26012.97413,25931.14501,25985.27837,30116.59657,29450.26419,24867.54374
Q6RUT7,Ccsmst1,Protein CCSMST1 OS=Mus musculus OX=10090 GN=Ccsmst1 PE=1 SV=1,26703.86857,31055.74783,31623.41094,25962.00843,26457.18246,26764.27382,27818.55138,22516.57996,20197.44169,30126.42629,27473.61056
P80314,Cct2,T-complex protein 1 subunit beta OS=Mus musculus OX=10090 GN=Cct2 PE=1 SV=4,2738916.177,2594483.024,2286246.182,2599358.692,2802183.137,2619331.102,2354901.021,2561393.897,2766246.591,2571072.832,2668097.407
P80318,Cct3,T-complex protein 1 subunit gamma OS=Mus musculus OX=10090 GN=Cct3 PE=1 SV=1,1313386.45,1167528.031,1109868.626,1318177.249,1301230.575,1263373.509,1135959.383,1285572.691,1279162.946,1264512.981,1265332.166
P80315,Cct4,T-complex protein 1 subunit delta OS=Mus musculus OX=10090 GN=Cct4 PE=1 SV=3,1734967.618,1540221.8,1490836.222,1758746.355,1771854.676,1704073.492,1582960.658,1743585.511,1665368.062,1719373.932,1690358.63
P80316,Cct5,T-complex protein 1 subunit epsilon OS=Mus musculus OX=10090 GN=Cct5 PE=1 SV=1,1232253.091,1222455.172,1093579.768,1210094.998,1258196.948,1198380.255,1069197.061,1185995.77,1342169.155,1194861.742,1184826.228
P80317,Cct6a,T-complex protein 1 subunit zeta OS=Mus musculus OX=10090 GN=Cct6a PE=1 SV=3,2180604.381,2002275.828,1899005.231,2148413.271,2283894.847,2153060.919,1896045.386,2166765.052,2181125.691,2139491.469,2136705.444
P80313,Cct7,T-complex protein 1 subunit eta OS=Mus musculus OX=10090 GN=Cct7 PE=1 SV=1,1960677.979,1732272.809,1810300.507,2035959.881,2097238.437,1965407.805,1771311.185,1956128.586,2126245.231,1923470.435,1967418.429
A0A0N4SV22,Cct7,T-complex protein 1 subunit eta OS=Mus musculus OX=10090 GN=Cct7 PE=1 SV=1,30562.49565,27836.0259,27372.99664,35141.61773,30133.87827,32534.21385,26778.22181,32476.15187,27876.72738,29566.99494,31572.01943
P42932,Cct8,T-complex protein 1 subunit theta OS=Mus musculus OX=10090 GN=Cct8 PE=1 SV=3,1274512.188,1326246.553,1130374.715,1341346.267,1311429.275,1277488.047,1136689.24,1305782.756,1268581.844,1258671.826,1229166.674
H3BKG2,Cct8,T-complex protein 1 subunit theta (Fragment) OS=Mus musculus OX=10090 GN=Cct8 PE=1 SV=1,344214.5266,367114.8345,307747.0976,388141.381,356005.5865,364207.8111,319036.5203,378535.1553,352495.7526,365948.8957,365308.2439
Q80YT3,Cct8l1,"Chaperonin-containing TCP1, subunit 8 (theta)-like 1 OS=Mus musculus OX=10090 GN=Cct8l1 PE=1 SV=1",12006425.02,5414330.086,1859672.07,3247675.658,11114134.62,3989689.186,2570709.292,3744232.372,9999619.492,3642144.064,4331620.77
Q8C1Y8,Ccz1,Vacuolar fusion protein CCZ1 homolog OS=Mus musculus OX=10090 GN=Ccz1 PE=1 SV=1,339155.0031,305813.4743,313650.1455,340263.0059,336093.8863,336586.7503,322753.9298,338353.5593,368618.9916,333714.6194,335372.6246
Q8R422,Cd109,CD109 antigen OS=Mus musculus OX=10090 GN=Cd109 PE=1 SV=1,42780.93965,49066.97971,43841.61674,47360.42983,44442.56945,44227.71505,45447.01126,44864.049,45757.74821,43925.24924,45667.78908
O35566,Cd151,CD151 antigen OS=Mus musculus OX=10090 GN=Cd151 PE=1 SV=2,316338.9109,214836.6853,228415.4755,237045.7133,325259.8613,248540.6768,243415.5547,242926.6449,240546.5323,236598.2535,267657.8738
Q62192,Cd180,CD180 antigen OS=Mus musculus OX=10090 GN=Cd180 PE=1 SV=2,10915.2619,9187.758695,10852.70307,8317.102306,10687.08658,10013.69498,10118.73343,10125.90809,10239.97256,9830.542873,11414.9516
O54901,Cd200,OX-2 membrane glycoprotein OS=Mus musculus OX=10090 GN=Cd200 PE=1 SV=1,235730.0024,163943.1986,206882.0795,263231.5079,239940.8017,245689.9026,216233.6587,258937.4503,224021.4229,212025.1544,228954.2392
Q9JLQ0,Cd2ap,CD2-associated protein OS=Mus musculus OX=10090 GN=Cd2ap PE=1 SV=3,114309.9732,94657.77162,114678.9385,113433.7476,116685.1705,104875.9964,110877.7748,111069.8482,123511.1618,105349.8921,117959.8366
Q9CWK3,Cd2bp2,CD2 antigen cytoplasmic tail-binding protein 2 OS=Mus musculus OX=10090 GN=Cd2bp2 PE=1 SV=1,74616.34174,77683.03777,77581.88882,84811.80758,70374.21493,80793.01205,85344.49777,85367.56992,63201.10507,79567.71915,80580.90462
Q64314,Cd34,Hematopoietic progenitor cell antigen CD34 OS=Mus musculus OX=10090 GN=Cd34 PE=1 SV=1,330179.7111,243064.1033,634758.3665,467188.0993,293688.6894,299584.9119,609959.6279,436391.1325,297307.2967,260058.5492,405059.2733
P56528,Cd38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 OS=Mus musculus OX=10090 GN=Cd38 PE=1 SV=2,64296.10712,118905.7223,40635.97632,50180.54635,67821.79596,112986.551,43293.27732,49656.34931,56095.14798,106604.4486,65155.5997
P15379,Cd44,CD44 antigen OS=Mus musculus OX=10090 GN=Cd44 PE=1 SV=3,26749.51747,36475.15207,23133.72468,23300.51547,28162.25149,33709.28111,22647.98379,30200.50962,32801.423,35734.83226,28231.92851
Q3U8S1,Cd44,CD44 antigen OS=Mus musculus OX=10090 GN=Cd44 PE=1 SV=1,26749.51747,36475.15207,23133.72468,23300.51547,28162.25149,33709.28111,22647.98379,30200.50962,32801.423,35734.83226,28231.92851
Q61735,Cd47,Leukocyte surface antigen CD47 OS=Mus musculus OX=10090 GN=Cd47 PE=1 SV=2,393590.0634,244642.2751,359116.1296,355348.2954,393993.4064,326979.4012,352795.8658,333922.3555,327439.0325,268758.2113,345901.0748
A0A2R8W6P0,Cd47,Integrin-associated protein OS=Mus musculus OX=10090 GN=Cd47 PE=1 SV=1,693526.083,494296.6794,697967.928,669073.3929,700356.9157,590362.651,682659.5434,627938.032,572100.0722,513303.0736,628448.9898
Q61475,Cd55,"Complement decay-accelerating factor, GPI-anchored OS=Mus musculus OX=10090 GN=Cd55 PE=1 SV=2",138334.7676,132205.1481,119898.8392,96479.89478,140266.2487,153444.8999,121694.2524,99608.72105,178421.5916,150835.9784,127632.6095
P41731,Cd63,CD63 antigen OS=Mus musculus OX=10090 GN=Cd63 PE=1 SV=2,113835.5623,59352.58719,33828.44684,41869.62809,87176.12132,58609.15891,30415.80958,35207.95394,124138.104,46501.72422,40072.14969
P35762,Cd81,CD81 antigen OS=Mus musculus OX=10090 GN=Cd81 PE=1 SV=2,751987.2239,574907.3681,424809.3175,514900.1013,877855.8248,513452.7678,389182.7101,446527.8345,849090.5935,484749.6236,541612.3992
P40237,Cd82,CD82 antigen OS=Mus musculus OX=10090 GN=Cd82 PE=1 SV=1,4057495.902,1900799.576,653717.5786,1302165.597,4104968.518,1567497.884,796541.57,1215267.974,3795549.309,1431847.329,1687051.137
A2AIJ2,Cd82,CD82 antigen (Fragment) OS=Mus musculus OX=10090 GN=Cd82 PE=1 SV=1,295579.163,149555.7306,52139.44925,99695.4554,301777.8137,119353.4645,61481.97554,93388.47262,322218.9105,111206.0866,127151.7441
P40240,Cd9,CD9 antigen OS=Mus musculus OX=10090 GN=Cd9 PE=1 SV=2,1105344.998,782747.5018,430840.6578,565495.4634,1388342.409,709592.3448,475442.2842,597273.6495,1645321.7,708755.3609,756245.2115
Q8BIF0,Cd99l2,CD99 antigen-like protein 2 OS=Mus musculus OX=10090 GN=Cd99l2 PE=1 SV=1,188714.2509,155718.5868,185533.3696,155911.0556,177871.4995,151624.9104,155963.1533,143846.9067,135680.4425,141444.3608,158895.1173
P56389,Cda,Cytidine deaminase OS=Mus musculus OX=10090 GN=Cda PE=1 SV=2,39797.2369,24978.25184,28463.0162,46368.31383,43731.30802,31293.6169,26640.58917,43577.26372,48857.06671,32210.17717,40007.11859
Q8CC12,Cdan1,Codanin-1 OS=Mus musculus OX=10090 GN=Cdan1 PE=1 SV=2,9522.460744,11732.42354,7787.695107,10132.57693,9955.234275,13176.57572,11177.01203,8722.338626,8605.409482,10543.91635,11925.29691
