Total protein number combining all batches: 8864
  In any 2 batche(s): 8837
  In any 1 batche(s): 27
Batch-specific protein numbers:
  batch1: 15
  batch2: 12

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126_B1	sig127N_B1	sig128N_B1	sig128C_B1	sig129C_B1	sig130N_B1	sig131C_B1	sig132C_B1	sig134N_B1	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig127C_B2	sig129N_B2	sig130C_B2	sig131N_B2	sig132N_B2	sig133N_B2	sig133C_B2	sig134C_B2	sig135N_B2
SJPG0106651.001	sp|O14832|PAHX_HUMAN	"Phytanoyl-CoA dioxygenase, peroxisomal OS=Homo sapiens OX=9606 GN=PHYH PE=1 SV=1"	PHYH	-	-	-	-	-	batch1	20	8	0	25.15	106993.08	57570.38	68884.10	48146.06	61422.50	58859.86	72577.18	57905.79	65148.34	batch2	20	8	0	25.15	80963.42	70618.61	76573.53	53452.57	72258.11	60322.76	66986.58	61578.16	48058.40
SJPG0103199.001	sp|O14925|TIM23_HUMAN	Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens OX=9606 GN=TIMM23 PE=1 SV=1	TIMM23	-	-	-	-	-	batch1	10	2	1	12.92	596036.72	316098.25	399945.18	288511.70	378117.05	353887.34	424991.77	335684.62	400338.91	batch2	10	2	1	12.92	451935.03	445461.89	444042.76	325582.92	436293.42	303076.76	409342.36	373866.69	282086.52
SJPG0117264.001	sp|Q9Y3C7|MED31_HUMAN	Mediator of RNA polymerase II transcription subunit 31 OS=Homo sapiens OX=9606 GN=MED31 PE=1 SV=1	MED31	-	-	-	-	-	batch1	8	2	2	12.21	100332.91	47638.63	59596.15	43555.88	52101.30	47652.02	63762.65	46275.80	54094.01	batch2	8	2	2	12.21	68524.10	60584.58	71089.90	42804.44	67241.84	48298.93	57390.37	58000.86	36000.99
SJPG0105686.001	sp|Q99547|MPH6_HUMAN	M-phase phosphoprotein 6 OS=Homo sapiens OX=9606 GN=MPHOSPH6 PE=1 SV=2	MPHOSPH6	-	-	-	-	-	batch1	34	6	2	30	848741.13	503566.06	554769.99	419261.69	469570.44	478903.65	620363.31	483369.93	524094.84	batch2	34	6	2	30	615813.13	595925.22	605355.18	448286.84	589414.56	445578.29	561195.98	506844.81	472251.08
SJPG0102023.003	tr|A0A494C039|A0A494C039_HUMAN	Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1	HYOU1	-	-	-	-	-	batch1	1070	52	0	49.3	6438388.05	3572611.64	4209245.84	2951707.99	3825756.38	3553210.73	4594489.74	3457233.05	4104784.39	batch2	1070	52	0	49.3	4694438.02	4325496.20	4684076.55	3439969.17	4649476.88	3473004.31	4134405.84	3915413.01	2961672.50
SJPG0109074.001	sp|Q6SJ96|TBPL2_HUMAN	TATA box-binding protein-like 2 OS=Homo sapiens OX=9606 GN=TBPL2 PE=2 SV=1	TBPL2	-	-	-	-	-	batch1	9	3	0	6.4	188013.92	101268.66	127648.36	100457.91	108434.48	105084.05	132159.34	100735.57	118357.76	batch2	9	3	0	6.4	138974.09	128825.75	139439.80	95525.42	141808.54	97034.79	129383.61	106699.70	96767.96
SJPG0106632.001	sp|B7ZAQ6|GPHRA_HUMAN	Golgi pH regulator A OS=Homo sapiens OX=9606 GN=GPR89A PE=1 SV=2	GPR89A	-	-	-	-	-	batch1	5	2	0	4.18	95564.87	48480.30	62171.63	52856.11	61091.16	55870.69	73675.46	56398.57	62655.22	batch2	5	2	0	4.18	77982.68	61132.91	71550.33	57689.42	66374.43	55691.86	62893.90	61692.59	47934.32
SJPG0101088.001	sp|O95139|NDUB6_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFB6 PE=1 SV=3	NDUFB6	-	-	-	-	-	batch1	79	10	0	37.5	318741.31	177886.84	206685.94	143916.61	180652.04	181642.55	233015.80	176963.81	206148.26	batch2	79	10	0	37.5	255412.52	223135.17	239950.71	170118.73	217509.74	168315.96	203656.97	178553.27	151900.26
SJPG0106685.001	sp|Q8N556|AFAP1_HUMAN	Actin filament-associated protein 1 OS=Homo sapiens OX=9606 GN=AFAP1 PE=1 SV=2	AFAP1	-	-	-	-	-	batch1	10	7	0	17.94	34228.99	20563.80	19988.90	16783.85	18673.55	22478.16	24213.40	18282.35	21790.68	batch2	10	7	0	17.94	25073.00	31773.16	26312.50	17135.07	23363.86	18991.50	25294.15	18536.69	12795.39
SJPG0105089.001	sp|Q15464|SHB_HUMAN	SH2 domain-containing adapter protein B OS=Homo sapiens OX=9606 GN=SHB PE=1 SV=2	SHB	-	-	-	-	-	batch1	3	3	3	5.3	47266.84	31395.08	33461.58	25134.15	29086.72	28832.34	37795.79	24662.22	29952.76	batch2	3	3	3	5.3	39385.60	31692.86	33941.84	26573.09	36877.35	27473.49	38582.66	28476.84	23317.50
SJPG0108043.001	sp|P98164|LRP2_HUMAN	Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens OX=9606 GN=LRP2 PE=1 SV=3	LRP2	-	-	-	-	-	batch1	9	1	1	0.15	227113.37	124179.31	153204.03	108438.97	92106.35	122604.37	163963.37	125266.99	136521.78	batch2	9	1	1	0.15	158951.02	149082.17	152351.39	118161.13	161285.21	115935.73	134431.23	135202.69	102334.25
SJPG0101159.001	sp|O43583|DENR_HUMAN	Density-regulated protein OS=Homo sapiens OX=9606 GN=DENR PE=1 SV=2	DENR	-	-	-	-	-	batch1	55	5	5	29.29	702781.20	396016.32	469098.20	346917.80	413943.17	388618.11	490669.54	386566.78	392809.76	batch2	55	5	5	29.29	518686.54	496004.36	531434.14	323992.17	557004.54	329503.92	505002.43	365319.72	361928.58
SJPG0101214.001	sp|Q86VP6|CAND1_HUMAN	Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2	CAND1	-	-	-	-	-	batch1	590	48	3	39.84	1038356.49	557918.05	684459.91	490234.44	598221.86	538766.28	711570.69	532376.92	570831.07	batch2	590	48	3	39.84	767332.36	738050.65	765354.62	468019.40	780448.19	492392.95	718963.32	499018.52	484396.23
SJPG0120722.001	sp|O75529|TAF5L_HUMAN	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L OS=Homo sapiens OX=9606 GN=TAF5L PE=1 SV=1	TAF5L	-	-	O	-	-	batch1	5	4	3	8.83	54723.40	35930.11	36820.94	27901.92	32837.17	33348.99	43956.98	31239.90	34326.08	batch2	5	4	3	8.83	43885.79	37733.29	40299.13	32598.90	37884.57	33218.68	38582.91	36814.16	26814.44
SJPG0103501.001	sp|Q01650|LAT1_HUMAN	Large neutral amino acids transporter small subunit 1 OS=Homo sapiens OX=9606 GN=SLC7A5 PE=1 SV=2	SLC7A5	-	-	-	-	-	batch1	96	6	5	13.61	999344.48	602458.82	683806.56	579051.52	663264.20	690737.83	802487.70	652258.97	752570.03	batch2	96	6	5	13.61	753888.14	736571.75	785022.69	606698.53	828331.21	614518.30	759074.28	678434.91	620568.57
SJPG0109440.001	sp|Q96T58|MINT_HUMAN	Msx2-interacting protein OS=Homo sapiens OX=9606 GN=SPEN PE=1 SV=1	SPEN	-	-	-	-	O	batch1	95	48	40	16.1	330713.80	196349.84	220819.44	168109.13	193105.36	193101.40	245670.18	189213.39	222700.96	batch2	95	48	40	16.1	247447.46	223570.79	241991.76	190236.21	245972.13	193211.52	219744.90	203113.31	172246.20
SJPG0100160.002	sp|P08621-2|RU17_HUMAN	Isoform 2 of U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70	SNRNP70	-	-	-	-	-	batch1	277	24	1	46.73	2543746.85	1373172.57	1650741.60	1138854.00	1417060.50	1386536.34	1808727.14	1364725.53	1578913.00	batch2	277	24	1	46.73	1747057.46	1647831.68	1754078.83	1265126.18	1765158.03	1341652.89	1687525.78	1532188.64	1285443.43
SJPG0106964.001	sp|Q96GW9|SYMM_HUMAN	"Methionine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=MARS2 PE=1 SV=2"	MARS2	-	-	-	-	-	batch1	64	16	2	35.41	191375.53	111319.40	124909.83	94715.45	107935.34	110042.39	140175.03	103518.57	123132.95	batch2	64	16	2	35.41	146460.13	129635.35	139074.98	103644.79	136760.42	105925.94	127282.74	113099.42	93719.43
SJPG0106809.001	sp|Q9NVE5|UBP40_HUMAN	Ubiquitin carboxyl-terminal hydrolase 40 OS=Homo sapiens OX=9606 GN=USP40 PE=1 SV=3	USP40	-	-	-	-	-	batch1	4	4	0	3.32	48174.26	28178.05	34374.61	22217.19	30022.99	28778.31	35487.04	25414.76	26942.63	batch2	4	4	0	3.32	34210.51	35242.32	35312.47	26145.97	35859.33	27932.86	31665.77	25232.59	24431.03
SJPG0101986.001	sp|O94903|PLPHP_HUMAN	Pyridoxal phosphate homeostasis protein OS=Homo sapiens OX=9606 GN=PLPBP PE=1 SV=1	PLPBP	-	-	-	-	-	batch1	58	10	0	36.36	475776.47	267010.72	317283.96	241224.93	286758.14	271444.32	331945.24	274846.07	281866.92	batch2	58	10	0	36.36	352023.03	348085.04	356292.12	243654.39	363859.57	241824.01	333501.46	257247.63	242370.26
SJPG0106203.001	sp|Q6ZWE6|PKHM3_HUMAN	Pleckstrin homology domain-containing family M member 3 OS=Homo sapiens OX=9606 GN=PLEKHM3 PE=2 SV=2	PLEKHM3	-	-	-	-	-	batch1	1	1	0	0.92	299860.99	212866.63	226129.75	165993.79	198085.15	173525.89	221307.55	164352.77	186829.85	batch2	1	1	0	0.92	273106.03	205064.99	246604.59	173252.10	263789.58	175760.32	186713.24	180064.90	150047.12
SJPG0104259.001	sp|Q96RF0|SNX18_HUMAN	Sorting nexin-18 OS=Homo sapiens OX=9606 GN=SNX18 PE=1 SV=2	SNX18	-	-	-	-	-	batch1	12	4	0	7.32	71390.89	42253.46	50113.42	39717.63	48343.01	44396.13	50553.75	42633.21	47817.95	batch2	12	4	0	7.32	54151.04	51872.94	58207.99	38653.87	61350.01	41294.82	52675.80	41556.51	37890.46
SJPG0111325.001	sp|P15514|AREG_HUMAN	Amphiregulin OS=Homo sapiens OX=9606 GN=AREG PE=1 SV=2	AREG	-	-	-	-	-	batch1	2	1	0	4.36	54123.03	30850.16	42263.66	29127.98	34825.34	36508.88	43025.74	32608.45	38830.98	batch2	2	1	0	4.36	39588.96	42402.54	43480.97	30931.43	45743.87	29836.70	41980.49	35334.81	31149.31
SJPG0159284.001	cu|TMSB10_M7R|snp	TMSB10|uc002sow.1|M7R|chr2:85133161-85133161.T_G	NA	-	-	-	-	-	batch1	19	1	1	21.62	887513.06	528053.64	604903.17	498077.65	477884.41	515574.96	680773.34	529122.85	560121.89	batch2	19	1	1	21.62	743062.26	613400.16	742579.08	421845.76	776158.40	460554.86	681268.17	471264.25	428363.23
SJPG0101499.001	sp|Q9H2G2|SLK_HUMAN	STE20-like serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=SLK PE=1 SV=1	SLK	-	-	-	O	-	batch1	199	45	1	40	650670.02	366746.04	435861.74	316533.16	392833.49	358883.15	453547.76	354982.29	378538.41	batch2	199	45	1	40	488048.26	460519.77	491669.95	316145.74	494103.45	330885.55	443447.76	334012.53	334366.30
SJPG0107142.001	sp|Q96F44|TRI11_HUMAN	E3 ubiquitin-protein ligase TRIM11 OS=Homo sapiens OX=9606 GN=TRIM11 PE=1 SV=2	TRIM11	-	-	-	-	-	batch1	1	1	0	2.35	27914.54	18402.91	19268.05	15546.56	20471.35	16738.43	18374.15	16653.35	17844.90	batch2	1	1	0	2.35	26379.44	22811.66	24127.32	11445.74	19183.82	16200.68	22338.12	18922.73	13188.60
SJPG0105658.001	sp|Q9NX18|SDHF2_HUMAN	"Succinate dehydrogenase assembly factor 2, mitochondrial OS=Homo sapiens OX=9606 GN=SDHAF2 PE=1 SV=1"	SDHAF2	-	-	-	-	O	batch1	1	1	0	4.82	87999.84	43296.54	61896.63	47299.97	59308.08	56012.33	83647.49	66079.55	69326.82	batch2	1	1	0	4.82	77931.47	58738.50	70942.91	62383.79	67184.96	56643.36	53069.35	71050.04	48846.79
SJPG0120763.001	sp|Q5VWN6|TASO2_HUMAN	Protein TASOR 2 OS=Homo sapiens OX=9606 GN=TASOR2 PE=1 SV=1	TASOR2	-	-	-	-	-	batch1	11	10	0	4.73	74610.89	47473.91	49810.85	37861.66	43483.51	45107.68	52649.01	39362.50	47874.94	batch2	11	10	0	4.73	60024.61	54202.07	53364.08	40861.57	53023.97	43114.26	47145.34	44723.64	38015.31
SJPG0115911.001	sp|Q3KP66|INAVA_HUMAN	Innate immunity activator protein OS=Homo sapiens OX=9606 GN=INAVA PE=1 SV=2	INAVA	-	-	-	-	-	batch1	4	2	0	4.07	73245.30	40010.04	48116.55	37412.79	39303.76	38949.28	54460.91	40159.90	42453.78	batch2	4	2	0	4.07	51896.90	47875.57	51336.41	36453.36	56904.92	35338.31	50801.71	42098.34	37500.19
SJPG0109990.001	sp|P54868|HMCS2_HUMAN	"Hydroxymethylglutaryl-CoA synthase, mitochondrial OS=Homo sapiens OX=9606 GN=HMGCS2 PE=1 SV=1"	HMGCS2	-	-	-	-	-	batch1	237	19	0	34.64	1853716.08	1011528.01	1211834.49	859716.94	1090092.21	986201.81	1219525.88	911875.97	1077127.79	batch2	237	19	0	34.64	1561595.15	1348512.56	1384313.78	990646.75	1114578.94	983766.59	1077991.81	957078.45	770016.94
SJPG0106169.001	sp|Q5VTE6|ANGE2_HUMAN	Protein angel homolog 2 OS=Homo sapiens OX=9606 GN=ANGEL2 PE=1 SV=1	ANGEL2	-	-	-	-	-	batch1	4	4	0	10.85	43095.50	24638.16	30505.66	21137.01	25703.54	22405.54	31222.51	21975.07	27184.43	batch2	4	4	0	10.85	31700.04	26826.51	32038.38	23436.32	30093.23	21485.51	33546.13	21334.28	24889.27
SJPG0106083.001	sp|Q9Y3C1|NOP16_HUMAN	Nucleolar protein 16 OS=Homo sapiens OX=9606 GN=NOP16 PE=1 SV=2	NOP16	-	-	-	-	-	batch1	80	11	1	52.81	481323.77	274225.16	305059.68	229712.20	278743.32	271375.67	341729.46	257450.57	295331.16	batch2	80	11	1	52.81	352623.61	318384.62	349383.30	255653.76	344674.95	252398.25	314243.57	296639.44	223545.16
SJPG0100731.001	sp|Q9HDC9|APMAP_HUMAN	Adipocyte plasma membrane-associated protein OS=Homo sapiens OX=9606 GN=APMAP PE=1 SV=2	APMAP	-	-	-	-	-	batch1	334	21	2	49.52	2232592.85	1219312.68	1506702.42	1114527.37	1357123.66	1334427.19	1629902.12	1242439.14	1463918.08	batch2	334	21	2	49.52	1577028.33	1478951.28	1646742.22	1248082.00	1696876.39	1222375.96	1529019.79	1458785.22	1106595.76
SJPG0101816.001	sp|P62910|RL32_HUMAN	60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2	RPL32	-	-	-	-	-	batch1	334	10	0	43.7	5125519.79	2646515.88	3332338.97	2267145.55	3187641.60	2800522.54	3182999.93	2557281.35	2811496.34	batch2	334	10	0	43.7	3678043.06	3767838.41	3518821.89	2360009.42	3354439.95	2386788.71	3365303.92	2569826.50	2627362.66
SJPG0106556.001	sp|P53384|NUBP1_HUMAN	Cytosolic Fe-S cluster assembly factor NUBP1 OS=Homo sapiens OX=9606 GN=NUBP1 PE=1 SV=2	NUBP1	-	-	-	-	-	batch1	29	6	0	23.12	163095.30	90042.74	106171.86	82593.97	97004.82	86126.68	116546.62	87770.86	96579.18	batch2	29	6	0	23.12	121066.19	116358.63	124027.93	74460.11	128099.47	75732.19	117177.79	86328.08	83257.36
SJPG0100810.001	sp|Q16851|UGPA_HUMAN	UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5	UGP2	-	-	-	-	-	batch1	261	24	1	46.65	926740.37	517487.84	618157.15	487152.76	569130.42	528993.17	658088.96	520171.88	557721.47	batch2	261	24	1	46.65	664672.05	678619.85	704058.67	452783.21	726754.82	474495.96	677141.18	509022.10	485694.92
SJPG0106118.001	sp|Q5T160|SYRM_HUMAN	"Probable arginine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=RARS2 PE=1 SV=1"	RARS2	-	-	-	-	-	batch1	19	10	5	15.57	126150.01	70066.05	86430.88	62034.53	76460.91	75143.37	89740.59	67322.57	80050.62	batch2	19	10	5	15.57	91864.14	85429.72	90717.36	69161.56	91330.83	71566.39	87020.36	75036.77	62662.83
SJPG0105263.001	sp|Q9NZD8|SPG21_HUMAN	Maspardin OS=Homo sapiens OX=9606 GN=SPG21 PE=1 SV=1	SPG21	-	-	-	-	-	batch1	51	9	0	28.9	187769.88	116862.57	126409.32	100155.56	114028.10	115062.44	147988.43	115872.46	133076.81	batch2	51	9	0	28.9	155804.73	146910.40	151339.01	103578.21	152153.21	107243.74	139657.14	105991.62	95977.88
SJPG0100254.001	sp|P46459|NSF_HUMAN	Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3	NSF	-	-	-	-	-	batch1	560	47	0	49.73	1373794.56	721068.61	934640.56	620547.68	838233.37	725777.45	968088.56	731159.77	917998.34	batch2	560	47	0	49.73	988245.55	953449.25	1032745.26	671185.34	1017142.53	687723.99	919663.15	830133.41	651156.03
SJPG0101162.001	sp|O95208|EPN2_HUMAN	Epsin-2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=3	EPN2	-	-	-	-	-	batch1	4	4	0	6.24	66349.87	39010.10	46880.25	37400.32	37545.34	39710.66	53718.54	38070.86	42695.27	batch2	4	4	0	6.24	54841.47	46812.02	48194.47	39325.55	53977.85	36684.34	45184.33	39256.42	34570.76
SJPG0102072.001	sp|O75874|IDHC_HUMAN	Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2	IDH1	-	-	O	-	O	batch1	535	33	27	62.08	4553922.01	2488941.92	2955807.65	2197780.27	2685089.35	2351665.59	3072775.14	2383746.20	2450952.96	batch2	535	33	27	62.08	3320904.05	3199705.68	3364078.01	2042501.79	3331275.68	2192085.41	3116879.25	2321458.64	2163600.28
SJPG0121644.001	sp|Q9BSV6|SEN34_HUMAN	tRNA-splicing endonuclease subunit Sen34 OS=Homo sapiens OX=9606 GN=TSEN34 PE=1 SV=1	TSEN34	-	-	-	-	-	batch1	15	5	0	21.29	82910.99	45106.97	51742.68	36615.90	47712.28	45236.37	53794.15	41897.79	46874.41	batch2	15	5	0	21.29	61889.06	52134.51	53297.03	41694.90	64781.15	39405.78	54709.30	43425.05	37155.17
SJPG0104696.001	sp|P17948|VGFR1_HUMAN	Vascular endothelial growth factor receptor 1 OS=Homo sapiens OX=9606 GN=FLT1 PE=1 SV=2	FLT1	-	-	-	O	-	batch1	7	1	0	0.52	146325.98	81887.35	89203.04	68410.70	78846.42	78948.14	100568.89	77675.81	92524.31	batch2	7	1	0	0.52	104840.75	88181.74	105488.40	73236.15	116667.30	87523.01	88889.09	82407.22	61581.04
SJPG0102601.001	sp|Q13501|SQSTM_HUMAN	Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1	SQSTM1	-	-	-	-	-	batch1	232	17	0	58.86	1344775.46	727199.47	860739.27	621453.13	765274.58	763097.64	892019.85	674520.03	803803.97	batch2	232	17	0	58.86	943305.31	910036.26	944048.03	637859.01	1011561.50	647377.51	927173.64	708946.52	663966.29
SJPG0110805.001	sp|Q15431|SYCP1_HUMAN	Synaptonemal complex protein 1 OS=Homo sapiens OX=9606 GN=SYCP1 PE=1 SV=2	SYCP1	-	-	-	-	-	batch1	2	1	0	0.82	84420.89	54548.78	56561.39	38960.72	49094.10	48835.62	59832.70	46582.89	54485.89	batch2	2	1	0	0.82	60096.27	74966.36	56942.46	40096.37	72131.06	43989.83	64615.55	39358.76	44513.19
SJPG0104416.001	sp|Q9H0C8|ILKAP_HUMAN	Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Homo sapiens OX=9606 GN=ILKAP PE=1 SV=1	ILKAP	-	-	-	-	-	batch1	55	11	3	25.76	229283.23	130294.37	151125.95	111923.79	132654.91	119584.18	163284.77	122777.88	123326.75	batch2	55	11	3	25.76	174256.01	160699.39	164539.09	107971.04	170686.80	111758.95	157466.92	114269.79	116064.17
SJPG0104353.001	sp|O95625|ZBT11_HUMAN	Zinc finger and BTB domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ZBTB11 PE=1 SV=2	ZBTB11	-	-	-	-	-	batch1	10	5	5	4.18	67498.67	42440.54	42209.77	32456.38	35402.07	37777.12	49869.87	37797.06	42065.09	batch2	10	5	5	4.18	45337.61	45203.52	45128.02	35348.12	50596.70	41594.97	42581.56	37422.33	37958.22
SJPG0108224.001	sp|Q9H6Y7|RN167_HUMAN	E3 ubiquitin-protein ligase RNF167 OS=Homo sapiens OX=9606 GN=RNF167 PE=1 SV=1	RNF167	-	-	-	-	-	batch1	7	3	0	10	111768.19	61347.18	63416.90	52612.22	60535.02	61195.10	74702.82	69791.51	65998.60	batch2	7	3	0	10	65398.86	68374.54	83506.74	54895.88	76700.07	69963.38	67545.95	80486.85	48762.45
SJPG0105640.001	sp|Q9Y6H1|CHCH2_HUMAN	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CHCHD2 PE=1 SV=1	CHCHD2	-	-	-	-	-	batch1	61	4	1	38.41	410623.73	216534.19	274081.69	192672.22	229333.33	226941.34	250810.22	199408.98	225457.42	batch2	61	4	1	38.41	248897.60	239124.87	240861.93	236274.28	264108.01	244616.91	249294.78	274337.62	184123.09
SJPG0105085.001	sp|P53675|CLH2_HUMAN	Clathrin heavy chain 2 OS=Homo sapiens OX=9606 GN=CLTCL1 PE=1 SV=2	CLTCL1	-	-	-	-	-	batch1	392	19	0	9.27	2914982.76	1513884.99	1885036.70	1353706.38	1582082.78	1545935.77	1982268.18	1514814.23	1634456.21	batch2	392	19	0	9.27	2073060.32	2008246.35	2038343.12	1383589.82	2015352.56	1427528.10	1930278.69	1498498.95	1383449.00
SJPG0118094.001	sp|Q9Y530|OARD1_HUMAN	ADP-ribose glycohydrolase OARD1 OS=Homo sapiens OX=9606 GN=OARD1 PE=1 SV=2	OARD1	-	-	-	-	-	batch1	10	5	2	34.87	182741.77	105393.74	127258.91	97892.32	114237.50	110337.03	139864.81	124974.10	118136.45	batch2	10	5	2	34.87	142094.17	137905.28	131409.04	95078.94	148598.68	104446.70	141593.31	110173.53	105350.22
SJPG0108660.001	sp|Q8NEF3|CC112_HUMAN	Coiled-coil domain-containing protein 112 OS=Homo sapiens OX=9606 GN=CCDC112 PE=1 SV=2	CCDC112	-	-	-	-	-	batch1	3	1	0	3.59	48420.23	29197.37	34207.29	25216.48	27418.86	26085.49	32558.99	23470.35	30629.75	batch2	3	1	0	3.59	31750.62	39740.26	34709.89	24787.96	40781.64	30146.09	38085.47	20125.63	19956.05
SJPG0107925.001	sp|Q96CB8|INT12_HUMAN	Integrator complex subunit 12 OS=Homo sapiens OX=9606 GN=INTS12 PE=1 SV=1	INTS12	-	-	-	-	O	batch1	44	11	8	36.15	103251.01	62189.28	71291.00	52248.65	61606.58	58950.85	76700.02	56571.81	65561.25	batch2	44	11	8	36.15	83042.59	70319.62	77756.64	56637.42	77411.79	57594.47	67900.24	61616.59	51511.51
SJPG0100026.001	sp|O95182|NDUA7_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens OX=9606 GN=NDUFA7 PE=1 SV=3	NDUFA7	-	-	-	-	-	batch1	66	10	0	78.75	471438.15	269750.04	325629.09	223819.63	287232.68	267784.24	330581.76	257277.25	288673.33	batch2	66	10	0	78.75	348245.14	311979.68	331759.40	270341.80	337051.41	269597.92	296774.74	294078.43	226497.20
SJPG0100168.001	sp|Q9UNZ2|NSF1C_HUMAN	NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2	NSFL1C	-	-	-	-	-	batch1	154	16	0	52.43	594159.24	335415.76	394065.62	328040.66	366117.60	344916.36	431207.89	340971.07	362452.93	batch2	154	16	0	52.43	444934.80	433933.68	460761.07	277085.05	498207.46	307648.37	444630.64	319356.57	323164.83
SJPG0101667.008	tr|B4DP66|B4DP66_HUMAN	"cDNA FLJ60755, highly similar to Leucine zipper putative tumor suppressor 2 OS=Homo sapiens OX=9606 PE=2 SV=1"	NA	-	-	-	-	-	batch1	1	1	0	1.43	54503.32	28221.15	39012.93	25085.55	30435.81	25539.99	36979.58	23177.94	29129.11	batch2	1	1	0	1.43	43341.83	32411.24	36834.98	26487.79	39270.12	21451.03	27237.85	32091.53	28947.88
SJPG0104359.001	sp|Q16540|RM23_HUMAN	"39S ribosomal protein L23, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL23 PE=1 SV=1"	MRPL23	-	-	-	-	-	batch1	49	6	3	39.21	212590.27	116785.74	142867.63	101100.79	124876.23	118310.28	151748.40	111058.92	128099.98	batch2	49	6	3	39.21	155684.22	146576.80	161760.44	114590.75	151699.21	112297.66	135596.77	125564.14	93228.74
SJPG0106226.003	sp|Q13099-3|IFT88_HUMAN	Isoform 3 of Intraflagellar transport protein 88 homolog OS=Homo sapiens OX=9606 GN=IFT88	IFT88	-	-	-	-	-	batch1	1	1	1	1.23	35380.35	20719.59	26329.18	23856.77	22176.22	22384.18	25100.91	24957.38	26757.90	batch2	1	1	1	1.23	27704.88	27449.35	25355.58	25300.61	34077.09	22341.03	25174.38	18966.55	21605.08
SJPG0104458.001	sp|Q17R89|RHG44_HUMAN	Rho GTPase-activating protein 44 OS=Homo sapiens OX=9606 GN=ARHGAP44 PE=1 SV=1	ARHGAP44	-	-	-	-	-	batch1	1	1	0	1.1	44485.15	31124.87	34181.29	26752.21	28256.55	31329.50	36111.18	29996.76	34425.83	batch2	1	1	0	1.1	36165.92	44654.65	35983.29	28568.50	33328.43	24299.59	34046.11	24216.46	37704.85
SJPG0100330.001	sp|P62937|PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2	PPIA	-	-	-	-	-	batch1	762	15	0	63.63	31408427.43	15364954.26	20244589.08	14752792.05	20376288.81	17230670.72	19568961.75	16126108.26	16836948.31	batch2	762	15	0	63.63	21378623.43	23731080.40	23177558.29	12797788.29	22179361.48	14050968.76	22638540.36	15995958.20	15831964.75
SJPG0104857.001	sp|Q9Y316|MEMO1_HUMAN	Protein MEMO1 OS=Homo sapiens OX=9606 GN=MEMO1 PE=1 SV=1	MEMO1	-	-	-	-	-	batch1	27	9	0	41.75	150323.45	80675.27	100074.22	76362.63	87151.97	81152.57	102429.92	83252.12	87540.07	batch2	27	9	0	41.75	109417.20	103834.36	114241.00	69427.60	114526.91	73428.26	103258.02	83235.48	75126.81
SJPG0122154.001	sp|O95876|FRITZ_HUMAN	WD repeat-containing and planar cell polarity effector protein fritz homolog OS=Homo sapiens OX=9606 GN=WDPCP PE=1 SV=2	WDPCP	-	-	-	-	-	batch1	1	1	0	1.61	37931.84	20744.11	29294.63	24521.25	27702.83	30927.87	30336.89	24773.21	33095.01	batch2	1	1	0	1.61	34475.22	35091.73	28435.66	24608.33	26970.70	31401.58	28105.19	23331.52	25620.57
