ProteinAccession,GeneName,ProteinDescription,Group1_1,Group1_2,Group1_3,Group1_4,Group2_1,Group2_2,Group2_3,Group2_4,Group3_1,Group3_2,Group3_3,Group3_4,Group4_1,Group4_2,Group4_3,Group4_4
sp|Q96FE5|LIGO1_HUMAN,LINGO1,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1 OS=Homo sapiens OX=9606 GN=LINGO1 PE=1 SV=2,259271.84,268773.75,263146.03,268240.83,297551.62,300360.49,329737.52,353482.42,228423.89,304320.94,295497.51,251776.31,335673.87,279194.33,327673.82,303356.45
sp|Q9NRF8|PYRG2_HUMAN,CTPS2,CTP synthase 2 OS=Homo sapiens OX=9606 GN=CTPS2 PE=1 SV=1,334582.25,331556.33,313898.21,337434.42,367466.82,360764.59,354990.85,320941.82,361790.5,324486.12,329721.55,353073.21,368471.44,407197.65,404664.05,396875.39
sp|Q96A35|RM24_HUMAN,MRPL24,"39S ribosomal protein L24, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL24 PE=1 SV=1",309501.45,392797.47,370461.51,397223.66,340512.98,284355.39,324371.1,352694.71,393780.51,337834.08,378815.62,371859.49,333576.01,293402.32,272441.14,299030.21
sp|P25705|ATPA_HUMAN,ATP5F1A,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",3379513.79,3454005,3268097.65,3381636.67,3485277.82,3497966.45,3351883.88,3039158.95,3435074.43,3230796.81,3490621.41,3301972.97,3222945.5,3545348.85,3497417.17,3559531.73
sp|Q8N766|EMC1_HUMAN,EMC1,ER membrane protein complex subunit 1 OS=Homo sapiens OX=9606 GN=EMC1 PE=1 SV=1,420685,430799.46,429064.38,440643.06,432357.69,424191.23,410331.2,418791.67,437983.63,380929.74,439905.44,403783.16,419229.67,416949.81,391318.15,390562.35
sp|Q13342|SP140_HUMAN,SP140,Nuclear body protein SP140 OS=Homo sapiens OX=9606 GN=SP140 PE=1 SV=2,60860.11,54591.1,54334.64,65411.99,43779.66,52105.37,54784.34,64945.71,45348.81,61154.11,74278.7,39997.12,49322.85,40450.54,37147,34370.36
sp|Q92692|NECT2_HUMAN,NECTIN2,Nectin-2 OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1,222883.43,236335.19,255691.68,245552.15,223074.44,239021.33,246662.77,262199.01,204214.83,269346.72,236685.5,224694.85,269641.94,228072.94,259453.17,246769.06
sp|Q9NYB0|TE2IP_HUMAN,TERF2IP,Telomeric repeat-binding factor 2-interacting protein 1 OS=Homo sapiens OX=9606 GN=TERF2IP PE=1 SV=1,352214.07,341059.06,351275.57,357237.3,366092.04,346870.18,396975.38,395699.54,314587.78,364847.77,340948.49,328452.26,352932.01,329595.54,377068.51,351995.21
sp|Q9H008|LHPP_HUMAN,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase OS=Homo sapiens OX=9606 GN=LHPP PE=1 SV=2,129797.19,104179.28,,108075.53,89764.48,113651.83,133765.64,159263.94,100034.15,130690.08,84781.59,116512.69,159279.64,96224.98,83213.79,110306.27
sp|P62241|RS8_HUMAN,RPS8,40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,1245540.46,1201136.84,1207124.84,1150961.15,1307219.47,1177538.44,1130347.54,1008131.22,1300940.61,1170785.73,1064392.66,1240452.75,1060369.9,1276380.78,1138487.86,1197037.83
sp|P62333|PRS10_HUMAN,PSMC6,26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1,671082.76,675682.02,674954.76,660997.76,709689.68,736069.18,717787.54,652258.76,687882.32,657012.5,645238.93,712326.15,679719.75,757769.21,741482.25,778572.14
sp|P08238|HS90B_HUMAN,HSP90AB1,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,1220125.11,1181034.04,1220868.71,1203404,1235441.1,1232873.99,1215909.02,1214037.84,1361335.13,1281845.89,1179599.14,1372330.73,1287443.92,1393334.76,1295418.68,1360575.63
sp|P08865|RSSA_HUMAN,RPSA,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,2139130,2201573.73,2066221.24,2200652.59,2279271.54,2107007.85,2058177.09,1970969.57,2298320.65,2269057.47,2122283.03,2296861.03,2154103.55,2249875.89,2132852.31,2326803.45
sp|Q6ZVF9|GRIN3_HUMAN,GPRIN3,G protein-regulated inducer of neurite outgrowth 3 OS=Homo sapiens OX=9606 GN=GPRIN3 PE=2 SV=2,149895.75,146078.82,151914.35,154617.77,106668.32,116201.91,133631.97,151113.58,118460.57,174440.2,144569.78,125583.26,125868.47,84550.45,125968.26,113988.11
sp|Q5VW32|BROX_HUMAN,BROX,BRO1 domain-containing protein BROX OS=Homo sapiens OX=9606 GN=BROX PE=1 SV=1,226620.84,209013.51,225213.27,216588.83,200425.49,165604.29,165962.48,178178.43,241022.72,218882.11,200331.27,214670.65,145773.85,153469.98,131637.08,194111.25
sp|O14734|ACOT8_HUMAN,ACOT8,Acyl-coenzyme A thioesterase 8 OS=Homo sapiens OX=9606 GN=ACOT8 PE=1 SV=1,342031.01,324607.55,298872.95,297297.29,309844.1,297328.74,259789.56,261541.77,269698.7,257110.86,302834.15,284569.31,258973.96,272854.91,293145.4,281425.45
sp|Q96JE9|MAP6_HUMAN,MAP6,Microtubule-associated protein 6 OS=Homo sapiens OX=9606 GN=MAP6 PE=1 SV=2,474958.11,424314.93,512000.5,490165.57,375912.63,428379.04,471579.58,529439.45,325343.88,651792.36,462836.55,467725.93,418047.56,283512.64,431172.43,334572.51
sp|P62269|RS18_HUMAN,RPS18,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,1006406.48,1007288.81,1053814,1035338.2,1021250.37,992707.01,1043380.79,1052542.26,1190533.76,1267485.95,1055267.73,1204175.34,1090511.05,1065928.35,1002306.1,1056232.21
sp|P05198|IF2A_HUMAN,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3,614618.03,631535.41,629195.21,634475.4,696887.19,671480.71,684197.22,674698.28,643592.66,645378.86,642362.79,640119.79,697718.13,746347.86,670171.67,682528.63
sp|P61221|ABCE1_HUMAN,ABCE1,ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1,427908.2,422589.26,412186.09,408182.26,431331.64,407764.12,397663.87,394177.31,406027.62,381415.62,362983.43,398587.59,410407.59,434387.71,399767.37,423304.71
sp|Q92896|GSLG1_HUMAN,GLG1,Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2,244335.2,266153.05,292865.7,275703.71,229353.16,227319.27,245730.21,265687.55,273304.24,295004.5,297856.81,259646.43,249719.79,222467.84,218337.61,205342.06
sp|P36542|ATPG_HUMAN,ATP5F1C,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",1699877.45,1772748.65,1675248,1729949.48,1789134.37,1765271.6,1732742.06,1618516.87,1871323.21,1727788.06,1788906.19,1750356.27,1674441.87,1830448.08,1771056.85,1847982.46
sp|Q5VYJ5|MALR1_HUMAN,MALRD1,MAM and LDL-receptor class A domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MALRD1 PE=1 SV=4,407352.53,388711.48,,379419.8,,,,,339366.06,,,,,390504.83,,
sp|Q9H074|PAIP1_HUMAN,PAIP1,Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens OX=9606 GN=PAIP1 PE=1 SV=1,247871.52,206640.59,236234.93,224379.67,200257.69,204968.09,220777.12,260520.1,193063.88,213711.58,235584.95,194897.08,224842.96,173811.41,192322.27,191909.72
sp|P78357|CNTP1_HUMAN,CNTNAP1,Contactin-associated protein 1 OS=Homo sapiens OX=9606 GN=CNTNAP1 PE=1 SV=1,392838.86,387482.12,397864.08,391895.71,362038.17,376333.54,371285.86,382903.66,313768.13,372078.09,356690.24,330930.86,323644.27,294626.3,327612.94,309643.23
sp|Q8IWQ3|BRSK2_HUMAN,BRSK2,Serine/threonine-protein kinase BRSK2 OS=Homo sapiens OX=9606 GN=BRSK2 PE=1 SV=3,142512.56,125958.15,118569.79,109611.68,115226.2,134291.87,130112.57,171706.85,125550.14,118824.61,133105.34,126802.31,150602.76,141390.29,131385.9,131228.09
sp|Q8TDC3|BRSK1_HUMAN,BRSK1,Serine/threonine-protein kinase BRSK1 OS=Homo sapiens OX=9606 GN=BRSK1 PE=1 SV=2,270267.4,240285.05,254074.95,240252.54,257541,241944.2,267849.45,294135.98,211821.68,298662.45,229045.63,243679.19,296173.23,249365.1,294684.39,264673.13
sp|P51157|RAB28_HUMAN,RAB28,Ras-related protein Rab-28 OS=Homo sapiens OX=9606 GN=RAB28 PE=1 SV=2,84247.8,76728.58,121390.13,94029.98,93884.32,72873.45,111753.66,121002.18,113205.91,108154.24,108418.27,84053.26,71467.53,93442.68,76783.83,53375.08
sp|O95747|OXSR1_HUMAN,OXSR1,Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1,356923.01,366123.03,371487.42,353304.1,374551.82,349438.58,365432.75,410664.11,345299.21,321178.53,387826.08,352592.49,413108.08,375248.47,327451.24,373554.13
sp|P06748|NPM_HUMAN,NPM1,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,900494.76,937689.19,950723.38,919806.76,825881.56,776652.24,845233.22,767449.91,1000245.71,796753.18,995757.41,867927.19,866592.04,842078.85,781220.69,866550.77
sp|P45954|ACDSB_HUMAN,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADSB PE=1 SV=1",425651.49,451153.47,441005.11,438208.7,424216.55,425634.62,444529.12,448969.84,473493.2,474016.13,463135.13,448209.59,457636.8,433351.34,447620,434542.76
sp|P06576|ATPB_HUMAN,ATP5F1B,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",3221099.69,3297455.43,3273537.6,3320709.2,3419644.8,3349315.27,3362318.17,3096981.73,3534716.8,3383249.21,3441227.78,3367545.06,3300047.3,3497727.92,3476079.22,3453639.39
sp|P56192|SYMC_HUMAN,MARS1,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",474478.76,486132.22,485978.41,484764.39,459416.07,454330.71,466821.25,471172.09,514142.33,449502.27,503197.91,517023.87,481487.89,498272.24,448262.96,470311.53
sp|P13984|T2FB_HUMAN,GTF2F2,General transcription factor IIF subunit 2 OS=Homo sapiens OX=9606 GN=GTF2F2 PE=1 SV=2,159312.8,158633.55,171863.85,151912.07,160657.99,171521.61,213207.58,208291.76,126545.49,183617.53,147002.81,163209.19,211174.57,165524.06,201289.13,176208.19
sp|P51688|SPHM_HUMAN,SGSH,N-sulphoglucosamine sulphohydrolase OS=Homo sapiens OX=9606 GN=SGSH PE=1 SV=1,181856.9,147432.99,173373.23,193242.47,200574.62,247251.53,200744.15,156516.54,131440.77,139326.11,140155.38,156548.52,116152.83,98586.34,215368.89,179826.59
sp|Q9ULK0|GRID1_HUMAN,GRID1,"Glutamate receptor ionotropic, delta-1 OS=Homo sapiens OX=9606 GN=GRID1 PE=2 SV=2",91427.26,,94821.62,102314.02,,,109531.76,80632.76,,158665.11,97893.34,130867.16,,,,112423.91
sp|Q8N1G4|LRC47_HUMAN,LRRC47,Leucine-rich repeat-containing protein 47 OS=Homo sapiens OX=9606 GN=LRRC47 PE=1 SV=1,535223.07,483699.27,525788.79,480737.87,496514.72,505998.34,493092.57,541515.57,492921.33,512766.7,514040.57,507575.73,576863,537486.44,536440.33,527769.58
sp|Q13895|BYST_HUMAN,BYSL,Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3,223879.07,234189.42,224342.67,220107.28,253588.78,220229.44,218006.76,176670.66,213680.5,177157.03,165743.19,202564.8,217755.96,232620.38,178323.61,201351.41
sp|Q9BZE2|PUS3_HUMAN,PUS3,tRNA pseudouridine(38/39) synthase OS=Homo sapiens OX=9606 GN=PUS3 PE=1 SV=3,,112373.32,82792.44,,,146528.08,58301.33,,,,,,,,,
sp|P61106|RAB14_HUMAN,RAB14,Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4,868200.51,799273.34,836156.64,810677.52,840943.59,897119.26,842547.57,857190.15,820434.73,888817.15,850582.2,802895.4,789704.9,830600.58,909213.51,866489.51
sp|Q15031|SYLM_HUMAN,LARS2,"Leucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=LARS2 PE=1 SV=2",315254.74,343274.76,316569.55,331557.83,313191.65,311878.63,322222.83,298501.15,342664.28,305733.38,329986.07,323953.05,300270.81,320276.44,301046.91,310773.14
sp|Q14997|PSME4_HUMAN,PSME4,Proteasome activator complex subunit 4 OS=Homo sapiens OX=9606 GN=PSME4 PE=1 SV=2,182783.04,195306.84,179406.73,190600.37,208127.92,198535.16,191023.18,187171.46,184869.74,178594.38,177300.51,191645.86,197022.71,210653.86,201322.51,200050.45
sp|P02533|K1C14_HUMAN,KRT14,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",,543277.41,26050.44,,212571.27,36082.98,73957.21,260265.07,,447987.49,175144.37,20197.82,1767468.09,607515.21,367807.33,
sp|P13645|K1C10_HUMAN,KRT10,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",188304.58,3506852.52,198798.84,138042.94,1060426.95,218160.09,256936.62,122687.96,77522.52,866858.96,1336385.38,139629.84,6359545.84,3981252.82,1598740.15,190711.34
sp|O95707|RPP29_HUMAN,POP4,Ribonuclease P protein subunit p29 OS=Homo sapiens OX=9606 GN=POP4 PE=1 SV=2,120902.97,116280.03,79899.48,104493.78,149381.16,152341.6,128366.04,115046.13,112784.87,113715.52,93310.55,114359.87,116592.56,133873.25,129974.38,118340.86
sp|P99999|CYC_HUMAN,CYCS,Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2,1218428.63,1191013.93,1370904.07,1233810.27,1027096.22,1150977.71,1097669.77,1172774.74,1130949.67,1318865.51,1284858.18,1222233,1127747.49,881692.54,1146128.93,1012297.96
tr|A0A804HJX8|A0A804HJX8_HUMAN,HECTD4,HECT domain E3 ubiquitin protein ligase 4 OS=Homo sapiens OX=9606 GN=HECTD4 PE=1 SV=1,534803.96,512092.45,559183.58,504786.88,415181.3,465446.64,524623.08,524987.99,477671.69,555527.63,487937.74,521322.78,513638.1,477151.15,432933.99,434890.64
sp|Q9GZT8|NIF3L_HUMAN,NIF3L1,NIF3-like protein 1 OS=Homo sapiens OX=9606 GN=NIF3L1 PE=1 SV=2,237252.33,227268.87,256411.9,249500.77,253694.94,291172.93,267715.92,292489.44,243198.13,244728.57,271337.94,247362.98,298329.75,251047.72,271898.95,279345.63
sp|O95822|DCMC_HUMAN,MLYCD,"Malonyl-CoA decarboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=MLYCD PE=1 SV=3",273108.22,282310.58,281891.24,275728.28,261176.69,255167.84,250170.17,234506.84,298076.33,280359.83,299074.8,286373.91,261389.73,266142.08,275094.61,277573.5
sp|P08195|4F2_HUMAN,SLC3A2,4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3,980140.7,967883.98,965834.45,984236.49,942382.45,1057979.27,953888.4,998118.46,864429.97,963885.36,983411.43,874005.27,921494.32,901434.26,946200.06,898168.15
sp|Q15269|PWP2_HUMAN,PWP2,Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=1 SV=2,316303.37,341631.38,307095.69,301546.09,324117.43,280038.13,302019.25,205966.47,301208.92,256029.83,239921.69,273809.9,259906.28,302747.12,237562.14,284471.75
sp|Q96C19|EFHD2_HUMAN,EFHD2,EF-hand domain-containing protein D2 OS=Homo sapiens OX=9606 GN=EFHD2 PE=1 SV=1,197346.77,207260.13,215078.54,226355.76,180710.97,238217.44,202836.41,249499.74,145583,227389.97,160459.65,181318.87,167957.48,203950.57,217795.35,170177.37
sp|Q8IXI1|MIRO2_HUMAN,RHOT2,Mitochondrial Rho GTPase 2 OS=Homo sapiens OX=9606 GN=RHOT2 PE=1 SV=2,301059.81,322800.06,303992.71,314831.77,315430.17,317104.09,287221.89,277696.43,333805.48,292016.93,268381.53,299809.9,274295.9,312885.09,285927.21,303499.59
sp|P50453|SPB9_HUMAN,SERPINB9,Serpin B9 OS=Homo sapiens OX=9606 GN=SERPINB9 PE=1 SV=1,557278.59,504956.2,531014.64,521500.04,483432.96,531474.29,540333.22,632823.82,433262.84,545076.27,518005.63,484709.16,533264.31,443168.62,539741.21,507247.92
sp|Q86X10|RLGPB_HUMAN,RALGAPB,Ral GTPase-activating protein subunit beta OS=Homo sapiens OX=9606 GN=RALGAPB PE=1 SV=1,193997.09,187893.32,189775.07,184976.43,182497.7,206238.71,199296.25,208097.42,181745.35,202876.89,192334.38,186430.52,213834.44,205589.79,194589.77,208050.31
sp|Q9H3Q1|BORG4_HUMAN,CDC42EP4,Cdc42 effector protein 4 OS=Homo sapiens OX=9606 GN=CDC42EP4 PE=1 SV=1,192929.14,185042.97,211400.53,206640.09,139470.89,151981.15,201272.4,202952.31,155278.79,239011,207342.37,193070.01,176133.95,127650.53,156961.04,160886
sp|P31930|QCR1_HUMAN,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",943844.78,932742.6,914517.92,918859.03,973552.44,950023.09,897120.47,907326.27,1005890.19,867349.57,1003399.77,912857.85,896784.5,1016166.28,929766.07,912266.76
sp|Q14232|EI2BA_HUMAN,EIF2B1,Translation initiation factor eIF-2B subunit alpha OS=Homo sapiens OX=9606 GN=EIF2B1 PE=1 SV=1,356951.66,337373.78,345002.78,330395.03,328810.96,355547.46,353984.41,335375.11,332317.16,307068.46,314896.66,330368.78,337761.39,343952.85,327211.58,339923.73
sp|O75165|DJC13_HUMAN,DNAJC13,DnaJ homolog subfamily C member 13 OS=Homo sapiens OX=9606 GN=DNAJC13 PE=1 SV=5,188437.76,189554.24,193934.6,181567.1,187657.35,181059.09,183724.44,192899.3,203174.4,179240.81,186875.63,183317.96,192137.39,191683,169506.68,176195.29
sp|Q9NSE4|SYIM_HUMAN,IARS2,"Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2",348021.81,355650,340452.05,347978.89,348736.62,356260.76,331412.46,321686.52,365833.08,337012.02,351633.88,347247.09,324342.59,350928.02,345539.21,345469.72
sp|Q06481|APLP2_HUMAN,APLP2,Amyloid beta precursor like protein 2 OS=Homo sapiens OX=9606 GN=APLP2 PE=1 SV=2,120926.39,130798.47,141516.95,137345.91,288049.13,321947.36,343207.77,362588.98,148164.04,155659.45,158247.56,140967.63,475952.66,345258.46,410060.5,301476.75
sp|P35580|MYH10_HUMAN,MYH10,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,457280.76,457394.63,458151.54,461806.63,473508.93,466247.93,468725.31,479397.98,513508.68,464344.06,496692.91,498691.34,508918.14,535905.07,504117.95,523469.2
sp|Q9Y6D9|MD1L1_HUMAN,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1 OS=Homo sapiens OX=9606 GN=MAD1L1 PE=1 SV=2,151310.83,157982.53,186046.62,180638.09,140239.9,109622.7,152172.13,126149.26,215831.47,174556.33,191316.77,207999.64,164428.12,136977.42,150675.97,163536.36
sp|P40939|ECHA_HUMAN,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",524195.48,537770.32,516104.13,537213.12,542864.48,508289.06,504654.17,475385.73,552786.65,461866.24,522845.44,526473.4,495240.76,557936.73,479677.05,519124.08
sp|Q9UEW8|STK39_HUMAN,STK39,STE20/SPS1-related proline-alanine-rich protein kinase OS=Homo sapiens OX=9606 GN=STK39 PE=1 SV=3,122748.19,118421.95,130032.91,108343.29,124966.5,136363.69,135518.14,149278.83,125572.56,139771.71,123479.21,139011.8,172504.59,128272.08,127188.39,128258.07
sp|O75027|ABCB7_HUMAN,ABCB7,"Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=2",346421.26,365995.71,365955.68,370278.61,396093,381962.5,357491.35,352464.27,387353.07,357789.19,400612.11,366541.73,370694.38,415399.5,386136.93,400183.21
sp|P36871|PGM1_HUMAN,PGM1,Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3,334493.91,323487.6,318721.88,324896.96,343181.18,341825.7,324890.59,336569.46,317560.3,292254.58,290035.96,314109.7,310007.97,312872.24,310717.02,313369.18
sp|Q8N111|CEND_HUMAN,CEND1,Cell cycle exit and neuronal differentiation protein 1 OS=Homo sapiens OX=9606 GN=CEND1 PE=1 SV=1,445919.41,465418.33,463442.69,436496.8,366979.05,351905.88,388130.62,387636.1,424108.71,504752.1,469551.61,403547.5,378518.48,383138.24,350662.37,335863.15
sp|Q9NX24|NHP2_HUMAN,NHP2,H/ACA ribonucleoprotein complex subunit 2 OS=Homo sapiens OX=9606 GN=NHP2 PE=1 SV=1,162036.76,173261.04,174116.25,173067.86,167972.8,174653.27,181105.67,169869.61,171514.28,168251.92,168317.35,171371.57,172668.83,177201.8,161866.26,175989.63
sp|Q9UBT2|SAE2_HUMAN,UBA2,SUMO-activating enzyme subunit 2 OS=Homo sapiens OX=9606 GN=UBA2 PE=1 SV=2,319678.53,309984,317896.47,304210.45,342681.24,328412.27,345596.65,353902.52,269869.59,288899.25,286219.8,284952.67,350573.72,332326.68,335087.57,328871.05
sp|Q9H3Y8|PPDPF_HUMAN,PPDPF,Pancreatic progenitor cell differentiation and proliferation factor OS=Homo sapiens OX=9606 GN=PPDPF PE=1 SV=1,73796.42,72022.03,73340.81,84865.51,68921.71,82002.1,79975.38,71105.26,75333.5,139774.05,65543.65,90100.67,60483.18,52730.55,67984.07,60302.64
sp|Q567U6|CCD93_HUMAN,CCDC93,Coiled-coil domain-containing protein 93 OS=Homo sapiens OX=9606 GN=CCDC93 PE=1 SV=2,92642.46,64944.44,62917.28,85221.76,85368.88,91736.62,103771.46,93905.38,64462.86,107805.94,106802.73,78518.5,138766,94895.96,83660.95,96385.61
sp|O14640|DVL1_HUMAN,DVL1,Segment polarity protein dishevelled homolog DVL-1 OS=Homo sapiens OX=9606 GN=DVL1 PE=1 SV=2,117061.62,101053.39,109263.09,90958.25,90789.38,109717.69,97416.76,100954.85,107264.18,97934.9,76300.72,99470.19,126095.09,105581.33,108587.63,95762.52
sp|P52434|RPAB3_HUMAN,POLR2H,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Homo sapiens OX=9606 GN=POLR2H PE=1 SV=4",230035.34,223878.77,235938.05,256043.92,235846.83,228679.1,260950,247364.76,233667.88,224764.33,237111.61,170334.66,221713.73,215526.89,251778.01,224934.72
sp|Q9HC35|EMAL4_HUMAN,EML4,Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,313314.63,306678.24,322988.12,316449.25,277022.65,287073.14,314846.6,316684.82,263779.78,299269.11,300102.26,304375.46,277577.15,273003.51,291076.18,291704.53
sp|P60880|SNP25_HUMAN,SNAP25,Synaptosomal-associated protein 25 OS=Homo sapiens OX=9606 GN=SNAP25 PE=1 SV=1,397451.51,507901.7,586272.04,627627.21,295651.12,343076.59,459015.16,534296.4,501503.39,881965.05,631051.25,542651.82,393225.52,263414.06,315756.84,260585.4
sp|Q00534|CDK6_HUMAN,CDK6,Cyclin-dependent kinase 6 OS=Homo sapiens OX=9606 GN=CDK6 PE=1 SV=1,128304.38,140264.84,120210.33,117987.02,146636.83,133325.72,137166.03,127349.94,132032.45,124544.34,109629.05,142226.11,113921.5,131170.86,122795.86,142009.54
sp|Q9HBM6|TAF9B_HUMAN,TAF9B,Transcription initiation factor TFIID subunit 9B OS=Homo sapiens OX=9606 GN=TAF9B PE=1 SV=1,210280.96,244907.28,269308.5,257055.35,234563.01,169967.72,248721.67,224327.33,292337.82,271825.57,318094.01,272013.98,215665.41,235129.89,277853.79,247473.82
sp|P62263|RS14_HUMAN,RPS14,40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3,1802599.93,1815698.02,1768794.72,1795158.07,1960036,1920245.97,1833947.65,1713668.2,2129545.18,1948674.92,1800788.69,2009065.15,1802114.87,2062621.15,1783216.43,1930840.4
sp|P02787|TRFE_HUMAN,TF,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=4,214922.26,221011.21,216046.66,219012.43,394286.61,407251.67,336730.12,406932.49,437848.67,167376.39,329497.3,209363.07,668424.39,464623.79,455770.55,340918.82
sp|P54753|EPHB3_HUMAN,EPHB3,Ephrin type-B receptor 3 OS=Homo sapiens OX=9606 GN=EPHB3 PE=1 SV=2,205229.23,209354.89,197823.7,185758.57,186815,181637.86,230404.97,221348.89,172262.95,229486.48,221584.79,171495.83,227840.97,190216.46,223059.3,205527.67
sp|P29323|EPHB2_HUMAN,EPHB2,Ephrin type-B receptor 2 OS=Homo sapiens OX=9606 GN=EPHB2 PE=1 SV=5,369298,372176.5,389602.91,378099.43,347951.87,393971.72,381684,375402.28,343232.64,483968.64,424401.89,364690.62,372715.85,336305.72,419541.85,378730.61
sp|O15027|SC16A_HUMAN,SEC16A,Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4,158027.84,151068.14,153921.91,160302.79,154590.38,170862.37,168359.08,158761.65,128050.74,168386.86,141857.47,136112.03,137100.81,121332.55,158625.94,140135.11
sp|Q08AM6|VAC14_HUMAN,VAC14,Protein VAC14 homolog OS=Homo sapiens OX=9606 GN=VAC14 PE=1 SV=1,244431.76,238621.61,243302.42,233068.52,237086.92,247635.66,236161.36,241021.4,216000.32,219568.51,206133.89,216659.65,235323.06,235611.88,236850.73,248532.34
sp|Q92859|NEO1_HUMAN,NEO1,Neogenin OS=Homo sapiens OX=9606 GN=NEO1 PE=1 SV=2,201184.42,197317.26,212448.08,211096.57,159214.75,191708.28,194592.36,208935.66,172942.98,296032.04,229559.18,197618.44,177365.63,127418.61,196318.71,163095.68
sp|Q66K14|TBC9B_HUMAN,TBC1D9B,TBC1 domain family member 9B OS=Homo sapiens OX=9606 GN=TBC1D9B PE=1 SV=3,153463.36,136483.06,137303.88,111577.2,146891.12,167913.83,156489.43,156300.84,141072.54,141406.72,125932.4,137057.37,174755.72,174545.25,170960.46,157771.81
sp|Q9UHD8|SEPT9_HUMAN,SEPTIN9,Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,305451.86,310318.51,322830.89,320649.72,317820.24,332495.15,336445.33,311055.52,331745.76,331727.72,321891.52,330922.78,334355.99,350652.39,349180.62,367001.54
sp|Q15019|SEPT2_HUMAN,SEPTIN2,Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,418160.42,421079.74,424779.96,429573.95,427710.13,416609.55,460930.36,462800.54,443370.6,412598.78,428799,458925.03,490166.1,474299.02,427035.39,463931.13
