ProteinAccession,GeneName,ProteinDescription,Group1_1,Group1_2,Group1_3,Group2_1,Group2_2,Group2_3,Group3_1,Group3_2,Group3_3,Group4_1,Group4_2,Group4_3,Group5_1,Group5_2,Group5_3,Group6_1,Group6_2,Group6_3
sp|P29144|TPP2_HUMAN,TPP2,Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4,928836.45,932710.99,941904.95,1355001.79,1305921.91,1408922.24,1228183.34,1224032.85,1141207.57,1077147.65,1061521.95,1057216.28,1305182.69,1265261.84,1266002.14,1398135.20,1442202.24,1312655.19
sp|Q99832|TCPH_HUMAN,CCT7,T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,1779980.02,1783070.36,1962512.47,2678000.99,2619055.20,2720246.23,2332485.56,1965785.75,1895392.68,1715047.52,1731696.60,1691451.61,2288277.97,2148888.83,2313559.86,2317155.16,2345343.83,2197611.13
sp|Q13884|SNTB1_HUMAN,SNTB1,Beta-1-syntrophin OS=Homo sapiens OX=9606 GN=SNTB1 PE=1 SV=3,433501.46,430016.73,386806.41,480348.67,472580.12,474749.74,370350.70,385424.51,421410.87,256311.86,254479.24,245244.32,271888.80,300011.70,275056.19,272899.66,260740.93,264208.65
sp|Q9BW62|KATL1_HUMAN,KATNAL1,Katanin p60 ATPase-containing subunit A-like 1 OS=Homo sapiens OX=9606 GN=KATNAL1 PE=1 SV=1,148749.54,147788.14,146454.58,137762.02,146799.76,130681.67,165030.07,185818.68,218207.67,140831.80,136109.31,142332.31,169401.98,159104.38,172414.24,168355.26,167912.74,169915.20
sp|P55265|DSRAD_HUMAN,ADAR,Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,7702760.94,7826295.02,7892656.81,5872052.33,5919414.79,6098429.35,6568816.79,6595610.15,6810129.10,7648269.53,7747639.63,7502711.55,4531491.13,4412929.12,4767392.31,6366160.40,6104504.86,6064732.70
sp|P46060|RAGP1_HUMAN,RANGAP1,Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,2450118.55,2508321.43,2569015.42,2583185.98,2865594.68,2598557.47,2318725.71,2320988.87,2163685.89,2883871.57,2979689.20,2816909.97,2245716.98,2264833.09,2420647.40,2649775.60,2673181.75,2570064.54
sp|O15530|PDPK1_HUMAN,PDPK1,3-phosphoinositide-dependent protein kinase 1 OS=Homo sapiens OX=9606 GN=PDPK1 PE=1 SV=1,152817.08,164403.86,143521.84,175077.03,170492.67,168113.13,143557.30,166187.22,169122.38,126693.51,107661.46,123217.40,150715.91,163473.59,138907.46,126086.13,118141.23,118455.54
sp|Q9BQ70|TCF25_HUMAN,TCF25,Transcription factor 25 OS=Homo sapiens OX=9606 GN=TCF25 PE=1 SV=1,489056.76,467180.81,474639.56,392276.42,430241.79,379860.45,438371.19,493082.69,541541.29,345366.43,368075.76,352346.32,306147.21,304362.54,296931.94,387904.39,389700.58,358803.03
sp|Q7L014|DDX46_HUMAN,DDX46,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2,512414.69,623667.75,698219.58,506751.30,536440.11,585472.21,669151.58,548296.42,576300.06,627670.85,701513.41,536179.34,411845.07,286578.84,472465.15,806784.25,727428.25,697334.71
tr|A0A0C4DG89|A0A0C4DG89_HUMAN,DDX46,RNA helicase OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=1,512414.69,623667.75,698219.58,506751.30,536440.11,585472.21,669151.58,548296.42,576300.06,627670.85,701513.41,536179.34,411845.07,286578.84,472465.15,806784.25,727428.25,697334.71
sp|P48444|COPD_HUMAN,ARCN1,Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1,457306.41,467121.08,490874.44,640472.01,588295.26,648839.27,612481.58,571941.97,565677.47,454089.87,452219.76,453949.61,509855.68,481362.32,502394.34,584514.94,558648.89,562221.80
sp|Q9HB21|PKHA1_HUMAN,PLEKHA1,Pleckstrin homology domain-containing family A member 1 OS=Homo sapiens OX=9606 GN=PLEKHA1 PE=1 SV=2,236714.58,241674.47,231742.46,416437.66,402455.19,466342.65,291979.10,318804.97,303612.15,114870.17,102387.72,108674.91,143579.99,152522.25,124764.06,124319.98,110822.96,127703.37
tr|Q5RGS4|Q5RGS4_HUMAN,PLEKHA1,Pleckstrin homology domain-containing family A member 1 OS=Homo sapiens OX=9606 GN=PLEKHA1 PE=1 SV=1,100576.99,103054.53,105055.58,217708.41,199496.16,252049.43,123171.63,146278.91,141789.12,40436.44,31431.42,32393.15,42501.61,44477.47,38561.25,42169.10,35515.18,41010.77
sp|P15170|ERF3A_HUMAN,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1,536893.78,569283.47,600467.12,710368.35,726083.61,733485.83,712518.39,597666.11,565425.04,558072.08,586753.86,570786.42,625481.64,583349.27,654067.46,701906.05,719964.49,715234.41
sp|P15170-2|ERF3A_HUMAN,GSPT1,Isoform 2 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1,536893.78,569283.47,600467.12,710368.35,726083.61,733485.83,712518.39,597666.11,565425.04,558072.08,586753.86,570786.42,625481.64,583349.27,654067.46,701906.05,719964.49,715234.41
sp|P50542|PEX5_HUMAN,PEX5,Peroxisomal targeting signal 1 receptor OS=Homo sapiens OX=9606 GN=PEX5 PE=1 SV=3,590438.91,558917.69,571062.84,569412.32,577948.30,544635.22,550240.53,529280.17,526651.69,569016.76,570286.01,559123.52,592338.45,656625.63,636543.17,525658.63,509549.51,531292.32
sp|Q14699|RFTN1_HUMAN,RFTN1,Raftlin OS=Homo sapiens OX=9606 GN=RFTN1 PE=1 SV=4,371869.20,389773.76,399879.27,310638.26,286634.32,328434.25,330112.22,333354.64,415155.59,185021.88,192485.45,190469.21,192878.93,187965.41,189349.16,162093.67,159427.38,155169.26
tr|B4E2S3|B4E2S3_HUMAN,NA,cDNA FLJ56561 OS=Homo sapiens OX=9606 PE=2 SV=1,373343.65,383314.63,392611.45,305725.30,282860.54,321972.27,330452.14,334460.42,415534.12,186505.73,192550.82,191856.48,196732.06,194044.44,191274.62,161290.30,160344.22,154678.58
sp|Q96QZ7|MAGI1_HUMAN,MAGI1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAGI1 PE=1 SV=3",248297.82,254043.61,248217.78,218258.95,209930.47,215655.58,260235.22,334335.73,299406.81,259465.56,241436.06,249842.30,216428.41,214060.64,197947.86,248311.56,267984.57,276663.46
sp|Q8IX01|SUGP2_HUMAN,SUGP2,SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2,1377305.56,1405981.90,1390340.55,1061126.40,1028835.37,1118650.26,1335225.74,1288542.22,1080548.69,1833944.24,1818336.91,1826720.15,906528.15,901606.54,919364.04,1499746.32,1349541.48,1472450.26
sp|O75351|VPS4B_HUMAN,VPS4B,Vacuolar protein sorting-associated protein 4B OS=Homo sapiens OX=9606 GN=VPS4B PE=1 SV=2,1481191.53,1492801.77,1561320.49,1447392.77,1451876.27,1481692.42,1486077.87,1445087.52,1511119.15,1189437.76,1276193.63,1248833.45,1349308.98,1274740.54,1366319.21,1289375.86,1417203.76,1375833.40
sp|Q9HA77|SYCM_HUMAN,CARS2,"Probable cysteine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=CARS2 PE=1 SV=1",423182.67,411295.72,384884.83,506588.68,480195.63,512036.88,340268.50,329028.95,291559.46,560791.62,544532.17,539060.39,645498.33,711812.63,637584.96,398814.83,358606.75,401933.56
sp|Q13098|CSN1_HUMAN,GPS1,COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4,492296.28,429915.99,415161.83,625010.69,667635.20,610843.77,596165.25,571093.44,526865.82,400320.72,381108.56,427361.99,516362.62,498148.65,521910.31,510866.82,455397.64,523771.08
sp|Q13418|ILK_HUMAN,ILK,Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=2,471513.04,459519.00,484108.03,478103.41,475108.79,485389.04,508385.06,476432.51,512725.14,384129.89,379469.31,382615.64,437467.83,416457.76,445163.50,398152.10,397810.02,404215.33
sp|Q9Y2D5|AKAP2_HUMAN,AKAP2,A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,628242.32,640688.35,645263.73,513758.57,485724.04,518862.73,638600.86,651276.46,767373.33,319119.43,317155.68,320783.58,406269.70,390561.47,378273.38,347363.59,310457.23,366893.15
sp|P55196|AFAD_HUMAN,AFDN,Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3,1683646.73,1711102.03,1720811.04,1379600.32,1275878.65,1408085.72,1765399.86,1812689.31,1667437.34,1513033.57,1481750.77,1495170.77,1351563.99,1271274.02,1314966.44,1410402.06,1460251.06,1415324.66
sp|P55196-1|AFAD_HUMAN,AFDN,Isoform 2 of Afadin OS=Homo sapiens OX=9606 GN=AFDN,1665638.35,1695779.04,1693426.93,1395621.75,1309474.71,1410026.48,1755689.93,1808262.09,1654083.12,1499995.81,1475530.46,1488830.94,1357201.77,1289469.27,1316399.30,1418555.37,1454907.33,1427302.24
tr|H0Y948|H0Y948_HUMAN,AFDN,Afadin (Fragment) OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=1,265968.57,280471.15,289104.65,205509.50,179924.22,219370.26,278757.36,286357.90,266819.14,240145.03,226504.29,236847.63,197188.02,176974.33,195468.30,221703.53,228216.56,212305.00
sp|Q8IV38|ANKY2_HUMAN,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKMY2 PE=1 SV=1,219133.20,240313.88,233198.04,304176.76,274839.36,320255.96,239740.79,245781.15,229848.40,248001.84,230787.06,249082.35,245116.67,252772.24,249375.12,307685.75,274046.08,283161.37
sp|Q15223|NECT1_HUMAN,NECTIN1,Nectin-1 OS=Homo sapiens OX=9606 GN=NECTIN1 PE=1 SV=3,78701.66,75269.82,74702.64,54746.85,54589.74,50001.84,73965.65,73099.81,69731.32,69082.22,72925.11,70041.17,55806.87,53051.42,54258.04,69113.86,74444.09,77328.08
sp|P45954|ACDSB_HUMAN,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADSB PE=1 SV=1",780602.20,777663.78,807253.13,795837.28,753596.30,821354.92,556780.05,566542.85,762038.69,857083.83,906268.24,849405.34,614029.09,639238.89,755314.98,601657.53,661125.63,617939.72
sp|Q5R372|RBG1L_HUMAN,RABGAP1L,Rab GTPase-activating protein 1-like OS=Homo sapiens OX=9606 GN=RABGAP1L PE=1 SV=1,258077.71,243078.33,252474.58,267946.57,297284.16,269450.69,280973.58,283381.56,285345.77,203296.16,211314.30,203778.81,210692.63,231572.01,229430.68,230169.69,229676.45,223614.33
sp|B7ZAP0|RBG10_HUMAN,RABGAP1L,"Rab GTPase-activating protein 1-like, isoform 10 OS=Homo sapiens OX=9606 GN=RABGAP1L PE=1 SV=1",117653.68,115287.28,143499.83,134780.03,134827.58,135100.69,162914.23,135010.50,162230.08,85366.21,101306.86,84764.93,78209.84,71823.49,82389.39,135113.62,151221.93,114492.64
sp|Q5VT25|MRCKA_HUMAN,CDC42BPA,Serine/threonine-protein kinase MRCK alpha OS=Homo sapiens OX=9606 GN=CDC42BPA PE=1 SV=1,176111.22,174738.94,183583.38,244070.17,235630.57,250916.38,188009.30,183190.87,196654.38,130551.26,128623.98,122938.08,131935.88,127412.91,129340.48,133013.70,137837.01,130288.17
sp|Q9NS86|LANC2_HUMAN,LANCL2,LanC-like protein 2 OS=Homo sapiens OX=9606 GN=LANCL2 PE=1 SV=1,318223.93,295890.99,295532.74,342062.42,372173.59,343428.81,316717.21,275227.03,300714.64,201612.12,273729.75,250974.44,345247.74,292668.86,325249.64,250944.56,182351.81,305171.65
sp|Q7Z6G8-10|ANS1B_HUMAN,ANKS1B,Isoform 10 of Ankyrin repeat and sterile alpha motif domain-containing protein 1B OS=Homo sapiens OX=9606 GN=ANKS1B,503978.98,530193.91,523470.05,641866.25,736939.03,712284.04,697798.19,594521.52,545158.58,468008.66,418789.67,465761.67,423896.58,416088.50,452741.82,579981.72,595626.91,595575.96
sp|Q7L576|CYFP1_HUMAN,CYFIP1,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1,608248.33,583318.04,556028.24,828860.79,824228.20,831453.24,705743.67,648542.75,650095.73,463240.83,457825.58,462537.35,474903.87,491423.64,438989.03,578931.36,557644.52,549856.86
sp|P53677|AP3M2_HUMAN,AP3M2,AP-3 complex subunit mu-2 OS=Homo sapiens OX=9606 GN=AP3M2 PE=1 SV=1,77036.71,71108.76,87327.37,114951.75,116500.71,116351.23,94473.54,88734.47,103589.09,87420.49,89590.56,85192.20,80579.48,74196.14,87939.20,128258.59,133904.89,128730.38
sp|O75886|STAM2_HUMAN,STAM2,Signal transducing adapter molecule 2 OS=Homo sapiens OX=9606 GN=STAM2 PE=1 SV=1,302555.84,323864.12,330561.11,370533.20,338307.97,387269.98,386375.98,346164.44,334913.28,244216.75,241518.30,250840.91,248295.70,241230.00,258159.30,320708.07,290556.81,294430.17
sp|Q96DV4|RM38_HUMAN,MRPL38,"39S ribosomal protein L38, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL38 PE=1 SV=2",1251882.21,1281837.93,1261188.35,1134040.92,1084227.48,1168709.86,1065345.89,1104336.78,1109341.44,1399741.43,1411346.76,1370445.48,1459655.40,1507969.43,1613847.02,1048888.58,1132690.59,1138054.07
sp|P55263|ADK_HUMAN,ADK,Adenosine kinase OS=Homo sapiens OX=9606 GN=ADK PE=1 SV=2,474195.13,591828.35,523680.46,686410.72,714423.95,715983.67,529450.69,665814.38,717222.11,524885.15,483717.47,468358.33,582708.94,547475.51,619853.14,745968.74,621014.28,684361.82
sp|Q13620|CUL4B_HUMAN,CUL4B,Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B PE=1 SV=4,1113708.12,1086494.42,1088381.24,1224741.13,1187846.42,1221011.59,1362122.91,1384542.04,1441585.01,1488697.20,1413488.34,1452379.17,1628810.19,1548533.84,1530626.83,2067233.12,2202122.03,1932901.07
sp|Q13620-3|CUL4B_HUMAN,CUL4B,Isoform 3 of Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B,1097031.46,1066815.78,1058393.24,1315126.57,1285009.04,1270857.89,1303095.87,1367732.30,1396055.05,1508891.69,1461207.92,1517097.05,1574663.84,1483671.20,1500157.28,2031056.48,2169757.87,1930906.48
sp|Q6FI81|CPIN1_HUMAN,CIAPIN1,Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=2,3040532.58,2974227.16,3045609.58,2856789.74,2710071.19,2867348.00,3921554.99,3910228.24,4052552.44,2835576.84,2805808.45,2805254.12,3430069.06,3188641.33,3335624.85,3997756.57,4142216.81,3921681.21
sp|Q92859|NEO1_HUMAN,NEO1,Neogenin OS=Homo sapiens OX=9606 GN=NEO1 PE=1 SV=2,228067.28,231424.49,234791.55,275223.32,263193.14,282316.19,266768.86,274557.26,258838.74,235198.56,234455.62,234711.77,300510.80,282020.77,286136.47,256174.78,260975.57,276059.15
sp|P07093|GDN_HUMAN,SERPINE2,Glia-derived nexin OS=Homo sapiens OX=9606 GN=SERPINE2 PE=1 SV=1,593455.29,574435.64,550940.37,822820.57,798964.95,814818.84,699048.43,708199.56,671915.60,307972.75,344893.77,314325.76,385574.68,404107.38,400717.73,339827.34,440861.80,506513.54
sp|P07093-2|GDN_HUMAN,SERPINE2,Isoform 2 of Glia-derived nexin OS=Homo sapiens OX=9606 GN=SERPINE2,584414.76,578291.28,575084.53,748212.04,738062.63,778695.22,738326.80,723465.21,641430.38,332218.22,347541.09,331065.59,376063.79,367442.55,393242.04,360754.39,489734.90,503791.56
sp|P23258|TBG1_HUMAN,TUBG1,Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=1 SV=2,675796.03,657190.88,645586.84,610556.74,608263.30,575259.32,638090.45,639896.00,616843.35,649249.07,669960.13,641426.47,807990.22,812974.61,801512.58,603274.73,620089.26,645556.04
sp|Q3ZCM7|TBB8_HUMAN,TUBB8,Tubulin beta-8 chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=2,6566836.59,6510926.29,6237184.77,10229253.54,11433993.90,9129371.64,10017554.86,9652036.89,9014407.45,5169981.90,4661841.33,4963490.52,6947962.29,7076952.73,6925088.70,6871519.29,6708524.26,7371629.12
sp|P00813|ADA_HUMAN,ADA,Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=3,326479.67,325873.63,356627.05,361066.41,359558.54,386061.04,379660.82,312348.51,302818.84,227685.23,249621.19,255094.86,271160.30,238146.82,257790.43,290434.83,253500.37,313202.25
sp|Q9H9S4|CB39L_HUMAN,CAB39L,Calcium-binding protein 39-like OS=Homo sapiens OX=9606 GN=CAB39L PE=1 SV=3,37740.36,32750.84,39647.58,48938.87,41529.06,48470.33,42916.78,44487.44,40622.60,33362.71,33304.69,34045.43,26440.11,25716.48,27743.65,33047.09,59933.41,38827.45
sp|Q66K14|TBC9B_HUMAN,TBC1D9B,TBC1 domain family member 9B OS=Homo sapiens OX=9606 GN=TBC1D9B PE=1 SV=3,225238.39,226016.18,219335.50,278640.48,274597.84,277593.41,246735.57,258867.80,254068.24,200270.73,211087.55,209999.38,218718.08,231387.11,223568.27,232055.12,223182.83,232383.09
sp|P16157|ANK1_HUMAN,ANK1,Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3,180499.80,182718.77,190449.53,169042.33,182661.77,165344.01,149547.31,188512.97,177332.04,221178.13,210906.98,189659.49,245306.95,272228.42,254427.93,194804.13,164110.25,218179.90
sp|P16157-21|ANK1_HUMAN,ANK1,Isoform Br21 of Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1,180499.80,182718.77,190449.53,169042.33,182661.77,165344.01,149547.31,188512.97,177332.04,221178.13,210906.98,189659.49,245306.95,272228.42,254427.93,194804.13,164110.25,218179.90
sp|Q86VP1|TAXB1_HUMAN,TAX1BP1,Tax1-binding protein 1 OS=Homo sapiens OX=9606 GN=TAX1BP1 PE=1 SV=2,222943.20,227322.24,233528.44,219791.82,214964.24,216869.27,277901.30,241805.54,222039.22,190945.92,192458.09,198263.29,203723.57,193585.87,214226.95,201335.98,211745.54,209567.45
sp|A0AVT1|UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1,1817225.19,1789312.76,1881957.77,2967362.19,3003941.86,2996954.20,2290504.40,2039866.44,1916399.57,1620714.47,1641543.97,1622390.20,1898862.51,1775331.81,1999536.35,2076504.23,2059822.45,2034276.44
sp|Q5T440|CAF17_HUMAN,IBA57,"Putative transferase CAF17, mitochondrial OS=Homo sapiens OX=9606 GN=IBA57 PE=1 SV=1",492561.99,496732.24,438776.64,362033.58,350850.81,368465.33,389327.98,402189.20,432406.64,514746.33,525554.39,516498.37,527357.73,569898.89,520898.68,374484.94,392630.16,393268.89
sp|P22090|RS4Y1_HUMAN,RPS4Y1,"40S ribosomal protein S4, Y isoform 1 OS=Homo sapiens OX=9606 GN=RPS4Y1 PE=1 SV=2",908655.55,904848.06,992475.14,1246619.66,1261117.24,1307849.46,970469.90,838553.09,856595.98,660790.39,715970.26,686682.16,682382.52,596534.11,704127.43,726791.99,746117.54,688135.13
sp|Q9NTX5|ECHD1_HUMAN,ECHDC1,Ethylmalonyl-CoA decarboxylase OS=Homo sapiens OX=9606 GN=ECHDC1 PE=1 SV=2,905759.67,913335.84,892766.90,1178238.29,1204820.49,1188490.33,934530.07,1030237.86,973113.68,970747.63,976996.19,962465.48,1095654.64,1107024.26,1146718.82,1101618.42,1037577.37,1111267.52
sp|Q9BV38|WDR18_HUMAN,WDR18,WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2,1853552.27,1818405.83,1875426.64,1556116.42,1584409.94,1572636.68,1601402.36,1521527.90,1535371.86,1913675.65,1971058.57,1924116.27,1940553.48,1890946.73,1961842.02,1630423.35,1722823.02,1620224.42
sp|Q9BY89|K1671_HUMAN,KIAA1671,Uncharacterized protein KIAA1671 OS=Homo sapiens OX=9606 GN=KIAA1671 PE=1 SV=2,304853.51,293091.75,291370.21,263516.34,255083.59,268946.17,277218.33,286481.91,277151.39,314492.49,313648.63,308147.11,270459.94,276193.42,259393.33,285171.13,301509.32,276928.63
sp|P32121|ARRB2_HUMAN,ARRB2,Beta-arrestin-2 OS=Homo sapiens OX=9606 GN=ARRB2 PE=1 SV=2,112054.97,116099.35,119526.86,115758.05,119009.72,119271.45,125407.62,135760.66,132258.33,163744.91,169085.47,158523.88,142708.08,128655.95,154666.99,207040.19,191978.68,151605.41
sp|Q16836|HCDH_HUMAN,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3",11178557.90,11075124.74,10788914.03,9295281.82,8430451.21,9388331.46,7473823.31,7556682.54,7939328.20,11869422.99,12675500.20,12362905.28,16335062.26,17005542.66,16784470.76,7326563.29,7250880.78,7360961.77
sp|O75525|KHDR3_HUMAN,KHDRBS3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3 OS=Homo sapiens OX=9606 GN=KHDRBS3 PE=1 SV=1",490908.72,442618.25,536632.16,333225.37,361486.58,363724.07,397981.61,439543.76,393739.28,616768.20,768285.85,613959.29,520248.32,463088.35,480358.28,524583.35,567166.45,502718.78
sp|Q9UH62|ARMX3_HUMAN,ARMCX3,Armadillo repeat-containing X-linked protein 3 OS=Homo sapiens OX=9606 GN=ARMCX3 PE=1 SV=1,982503.44,947425.49,910897.00,1182765.24,1194173.71,1168826.29,833171.68,745550.15,787034.45,635476.96,620125.28,626427.93,548697.46,571135.20,643952.89,528720.31,525999.19,556597.56
sp|Q9NUJ1|ABHDA_HUMAN,ABHD10,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1",3458101.05,3554000.13,3629618.57,3071530.11,2838521.89,3056962.13,2590368.14,2644430.56,2850788.25,4694930.74,4908989.60,4731395.87,5727243.82,5660537.71,6148517.72,3419357.25,3439914.56,3254305.70
tr|E9PQ57|E9PQ57_HUMAN,RAE1,Rae1 protein homolog OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,44986.67,47454.11,40753.79,42282.24,40469.88,43522.13,49589.47,43613.25,42578.76,37849.43,40532.65,44657.56,38949.06,35862.97,38478.51,52944.02,48292.28,52560.30
sp|Q16762|THTR_HUMAN,TST,Thiosulfate sulfurtransferase OS=Homo sapiens OX=9606 GN=TST PE=1 SV=4,730038.52,690250.00,696531.86,551427.84,520495.93,526921.34,590263.53,603681.96,663578.09,1123117.31,1139295.86,1085309.14,782535.31,820506.21,913208.47,744689.82,784363.93,722891.08
sp|P46937|YAP1_HUMAN,YAP1,Transcriptional coactivator YAP1 OS=Homo sapiens OX=9606 GN=YAP1 PE=1 SV=2,1299925.47,1299211.05,1296943.24,1364581.34,1249430.61,1410349.41,1421471.41,1379891.82,1341226.33,916617.28,895296.04,915932.56,942333.36,885911.69,906464.25,1034955.12,1003934.98,1055873.74
sp|P46937-3|YAP1_HUMAN,YAP1,Isoform 3 of Transcriptional coactivator YAP1 OS=Homo sapiens OX=9606 GN=YAP1,1310439.02,1310709.16,1297612.45,1343002.57,1239365.30,1390483.01,1420462.16,1390239.43,1363363.85,916034.18,888853.36,917645.37,953248.18,903434.63,916250.81,1022033.56,989275.73,1044451.58
sp|Q9UM54|MYO6_HUMAN,MYO6,Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=4,2081292.71,2114137.29,2179968.71,2345540.74,2221324.37,2422380.86,1867917.94,1714003.60,1701890.15,1793573.51,1800619.19,1794394.57,1959525.55,1830150.65,2064647.09,1419782.69,1508236.43,1471802.81
sp|Q9UM54-2|MYO6_HUMAN,MYO6,Isoform 2 of Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6,2081292.71,2114137.29,2179968.71,2345540.74,2221324.37,2422380.86,1867917.94,1714003.60,1701890.15,1793573.51,1800619.19,1794394.57,1959525.55,1830150.65,2064647.09,1419782.69,1508236.43,1471802.81
sp|Q99733|NP1L4_HUMAN,NAP1L4,Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1,7582956.82,7505315.88,7108316.98,7150444.36,6665932.54,7225214.56,8446813.97,9406476.74,9323656.80,6814167.04,6366410.00,6654485.17,10726774.25,11315441.63,9419321.78,8421762.44,8654100.41,8478805.20
sp|P46940|IQGA1_HUMAN,IQGAP1,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,2876783.00,2834309.09,2802871.65,4669039.58,4540913.35,4579006.77,3029014.16,3175894.57,3350676.92,2336763.84,2256837.27,2355567.67,2842826.47,2728641.13,2776459.93,2521305.48,2551809.31,2486337.18
sp|P06737|PYGL_HUMAN,PYGL,"Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4",339184.60,335827.69,334712.06,964896.20,927101.65,1003997.50,435909.71,409542.54,373286.64,297009.97,297223.14,309502.46,342094.79,328955.69,330398.61,360507.83,374700.06,343959.01
sp|P55060|XPO2_HUMAN,CSE1L,Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3,1567360.58,1652122.96,1715506.54,2126541.65,2330160.57,2037171.02,1951299.56,1802138.86,1624504.10,1815524.68,1882028.83,1871186.50,1451734.39,1366995.58,1623317.16,2390148.59,2501497.40,2323491.81
sp|P17655|CAN2_HUMAN,CAPN2,Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6,463169.46,458130.36,489929.18,845756.10,810434.40,875068.98,560117.30,510953.37,527709.75,420170.44,410819.66,409240.84,512214.46,498530.54,528748.21,534165.11,532325.91,493557.08
tr|B4E1R7|B4E1R7_HUMAN,NA,Calcium-activated neutral proteinase 2 OS=Homo sapiens OX=9606 PE=2 SV=1,451609.59,452131.93,494504.08,839596.83,807346.96,876513.70,561823.95,494978.86,510286.37,417680.13,416609.11,409666.22,507579.26,491335.40,524185.89,547032.33,549425.55,497749.74
tr|Q59EF6|Q59EF6_HUMAN,NA,Calcium-activated neutral proteinase 2 (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1,463950.29,459244.90,490638.53,836004.21,801427.17,864637.24,561865.55,512880.60,527165.35,422885.10,412913.85,411738.58,511104.59,497796.89,527099.03,535648.98,534625.57,496243.29
sp|P43378|PTN9_HUMAN,PTPN9,Tyrosine-protein phosphatase non-receptor type 9 OS=Homo sapiens OX=9606 GN=PTPN9 PE=1 SV=1,260723.16,269262.51,254357.20,276771.48,282042.91,272903.55,240451.01,283995.14,263561.33,208928.96,198494.12,200215.47,194459.25,243976.97,198752.12,192770.53,184303.85,200730.95
