protein,species,quant,EA100915_05,EA100915_06,EA100915_09,EA100915_10,EA100915_13,EA100915_14,EA100915_18,EA100915_21,EA100915_25,EA100915_26,EA100915_29,EA100915_30,EA100915_33,EA100915_34,EA100915_38,EA100915_41
>sp|P23193|TCEA1_HUMAN Transcription elongation factor A protein 1 OS=Homo sapiens GN=TCEA1 PE=1 SV=2,human,dia,119417.9961,131179.2831,144905.8642,161389.0229,105045.8318,149467.5068,181307.1953,187622.896,199743.2414,175072.0892,140363.0384,213176.5068,205467.9292,134867.1937,121809.8406,126571.3299
">sp|P23246|SFPQ_HUMAN Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2",human,dia,5540441.422,5354874.639,5894331.962,4528020.553,4207057.483,5689653.564,5094774.412,5849037.559,5279869.378,4624213.161,5087772.125,5706510.147,5531261.495,5376107.87,4918843.422,5723660.038
>sp|P23284|PPIB_HUMAN Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2,human,dia,24080677.47,22725069.16,18275156.96,23430654.39,24392459.57,19835972.1,22560621.55,20178589.3,22811191.24,21178958.84,22908813.36,23124582.59,20596021.95,19398179.61,26380779.78,20919041.26
">sp|P23368|MAOM_HUMAN NAD-dependent malic enzyme, mitochondrial OS=Homo sapiens GN=ME2 PE=1 SV=1",human,dia,58601.65625,40354.37151,51659.80647,35834.39377,40920.51952,37725.07675,37790.21236,47378.67579,55157.67613,47229.74385,35933.92723,70375.89193,68436.69162,34394.33318,46858.11955,38513.60552
">sp|P23381|SYWC_HUMAN Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2",human,dia,1702939.262,1630649.653,1983950.117,1619791.526,1770689.72,1555235.799,1874723.456,1582121.48,1754154.544,1817545.703,1920570.398,1830990.166,1220402.709,1890643.05,2072529.968,1668691.444
>sp|P23396|RS3_HUMAN 40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2,human,dia,12101266.82,14021779.26,13181974.06,13890057.7,12277672.27,12120720.77,12334254.26,14003548.57,14788624.26,12875485.57,13270008.39,12852250.08,14346941.11,14380330.44,13019670.64,13189393.01
>sp|P23443|KS6B1_HUMAN Ribosomal protein S6 kinase beta-1 OS=Homo sapiens GN=RPS6KB1 PE=1 SV=2,human,dia,936786.9532,1055795.61,996605.8665,1161308.793,1063893.914,980319.1709,953784.8172,990252.5485,1075425.765,1050999.428,1091132.218,1032187.857,1055501.467,1001199.151,1296037.888,1207560.694
>sp|P23526|SAHH_HUMAN Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4,human,dia,5896932.695,6205928.081,6612742.467,5752620.186,6080839.901,6095819.16,5707261.477,5893993.394,6891178.161,6242423.848,5377528.312,6926177.618,6599307.76,6549540.244,6979855.459,6553487.815
>sp|P23528|COF1_HUMAN Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3,human,dia,25961856.32,23451513.91,27012706.96,26339120.62,29424915.28,23510530.68,26467042.93,25447328.19,22936260.88,20277374.39,25159724.73,26878945.05,22032590.31,22317482.95,21305196.28,26432074.78
>sp|P23588|IF4B_HUMAN Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2,human,dia,853376.3009,918842.2639,949443.4741,919487.4558,871441.7745,850401.5864,841982.4232,845443.1405,711667.0573,748141.96,928689.0809,773873.4604,821879.7074,857328.3881,1128002.098,788499.2418
>sp|P23771|GATA3_HUMAN Trans-acting T-cell-specific transcription factor GATA-3 OS=Homo sapiens GN=GATA3 PE=1 SV=1,human,dia,226902.7344,154448.896,167754.4693,147943.7399,189049.3429,176120.7979,100084.9297,171479.431,206376.3743,201870.4,173867.609,241631.2838,186746.1684,187494.217,230824.8016,263419.6307
">sp|P23786|CPT2_HUMAN Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens GN=CPT2 PE=1 SV=2",human,dia,98352.17383,191419.1541,178401.9886,181398.214,154293.8388,146243.5567,271930.5713,154523.0766,151779.1512,136022.1508,148640.3886,149235.5684,115051.0654,186349.7961,139131.0172,149613.1482
>sp|P23919|KTHY_HUMAN Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4,human,dia,201409.2539,157472.5894,174535.0859,144298.4942,212420.3563,295067.7112,195003.9153,149910.57,174135.4802,221535.8371,205015.4172,167541.962,231628.6433,198246.8667,229673.7459,201027.6796
>sp|P23921|RIR1_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens GN=RRM1 PE=1 SV=1,human,dia,667406.5459,737541.2542,780295.9364,810146.4208,726907.3273,793913.2956,803013.6575,819516.2613,821614.574,699940.8147,789819.7621,696775.7391,739617.5252,739371.3711,711153.9399,739736.9903
>sp|P24534|EF1B_HUMAN Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3,human,dia,3300507.281,2721730.409,2450077.072,3071708.011,2756534.101,2481652.34,2784662.145,3153465.42,2640060.937,2397283.422,2745385.48,3237309.806,2487836.262,3136365.998,2512586.959,2860240.18
">sp|P24539|AT5F1_HUMAN ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2",human,dia,1544326.803,1475957.715,1412140.229,1303592.342,1382698.245,1445826.54,1490912.976,1248019.655,1470997.957,1449263.562,1353581.193,1470138.479,1449622.89,1185649.673,1454655.573,1397564.456
>sp|P24666|PPAC_HUMAN Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3,human,dia,1548585.781,1643513.901,1430800.316,1355612.322,1330836.192,1446404.291,1666939.589,1392480.526,1644978.773,1556508.628,1418575.152,1556128.787,1355481.457,1324322.381,1508165.313,1687055.024
">sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens GN=ACAT1 PE=1 SV=1",human,dia,2462928.578,2558671.727,2166783.677,2295368.82,2281181.398,2446772.164,2687835.475,2782163.742,2727341.409,2284375.148,2314775.711,2387978.78,2922793.088,2634948.711,2477880.023,2300804.219
>sp|P24941|CDK2_HUMAN Cyclin-dependent kinase 2 OS=Homo sapiens GN=CDK2 PE=1 SV=2,human,dia,968582.7969,915615.7786,637948.7431,1003006.449,783565.6897,1037022.257,1095143.711,1067387.071,861226.7878,970114.9813,701600.6404,799534.9414,516285.0656,861723.5482,1029345.22,739926.581
>sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,human,dia,3734302.389,3108869.409,3647225.11,3212930.161,3368177.899,3423520.673,3191055.2,3026205.456,3332459.381,2973985.559,3032037.815,3211885.175,3122149.869,2984537.711,2861819.794,3273334.687
>sp|P25325|THTM_HUMAN 3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3,human,dia,118699.5664,136700.385,207886.8087,109704.5528,92372.66099,145056.1166,129864.8152,164012.2204,167073.6923,179733.5695,74498.74459,193959.1037,145115.8457,98668.37073,86716.8197,155261.8608
>sp|P25398|RS12_HUMAN 40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3,human,dia,3274003.797,2879637.095,3142125.49,2248380.073,2471891.712,2688755.826,2575117.706,2846014.804,2613824.416,3175378.88,2631669.171,2756837.18,3598832.951,2886983.026,2819717.801,2788323.223
>sp|P25685|DNJB1_HUMAN DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4,human,dia,527154.4845,480292.9359,575290.061,607222.8644,567723.6704,579934.5862,553721.0924,709422.8028,514238.4452,509028.2398,554051.4845,575932.4989,614978.5246,617528.1709,605574.6856,539813.0035
">sp|P25705|ATPA_HUMAN ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1",human,dia,27003825.09,24780446,26107921.87,21980901.63,21557894.67,29116824.46,29798932.33,29957885.11,22912350.28,23201691.9,27599048.44,26584049.41,23426855.14,26897460.8,27500296.39,24638664.31
>sp|P25786|PSA1_HUMAN Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1,human,dia,2700429.68,2439357.063,3215125.346,2803876.329,2847311.255,2750901.462,2264458.52,2761958.156,2923705.846,3004146.932,3208961.41,2821125.604,2697949.319,3128958.777,3359603.477,3348128.099
>sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2,human,dia,2083829.781,1564476.573,2051120.195,1609746.82,1983127.529,2111503.058,1788103.981,2145953.495,1800909.938,2083928.26,2123021.368,1494240.526,1950137.901,1883568.451,1644222.128,1999560.511
>sp|P25788|PSA3_HUMAN Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2,human,dia,1662819.786,1715380.204,2126773.613,1790213.239,1309614.807,1532700.676,1927177.309,1745150.262,1837397.393,1836899.422,2037863.467,1579125.596,1669686.137,1972001.629,2226620.898,1974461.908
>sp|P25789|PSA4_HUMAN Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1,human,dia,1918834.408,1646433.692,2239502.199,2087488.248,1869919.012,1576657.311,1820237.012,1974287.665,1658776.305,1467642.315,2229299.631,1800984.736,2031205.72,1388576.165,2023328.739,1893499.258
>sp|P26196|DDX6_HUMAN Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens GN=DDX6 PE=1 SV=2,human,dia,1231602.32,1004648.455,1164994.164,1023601.17,939897.2683,1126603.705,1254386.446,1307044.533,1189796.941,1177011.575,994300.6753,1074311.702,1112803.143,1231800.073,1085194.596,1205551.836
>sp|P26232|CTNA2_HUMAN Catenin alpha-2 OS=Homo sapiens GN=CTNNA2 PE=1 SV=5,human,dia,162111.125,214653.1128,169562.7501,179069.5885,194806.6901,224695.0236,89450.40448,273948.3517,161599.4097,222987.3277,113969.9326,150225.8074,143076.2636,210862.7942,124404.5182,180447.6202
>sp|P26358|DNMT1_HUMAN DNA (cytosine-5)-methyltransferase 1 OS=Homo sapiens GN=DNMT1 PE=1 SV=2,human,dia,168868.6563,149780.8477,141772.9009,170671.2132,159653.0304,146761.2628,236392.1663,131987.1246,196548.777,201023.3287,194693.7445,165319.1801,134430.514,172811.3649,132708.348,152978.88
>sp|P26368|U2AF2_HUMAN Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4,human,dia,3570037.723,3263035.56,3778625.348,3025213.929,2901720.106,3127423.032,2725400.385,3007960.18,2997532.994,3288845.352,3252281.606,3691259.346,3199156.86,3205384.083,2618741.266,2839633.975
>sp|P26373|RL13_HUMAN 60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4,human,dia,9078409.81,9940734.992,8289462.944,7134296.385,8557923.263,10778420.69,8457002.81,8014827.436,8091713.815,7311699.967,7841368.991,7446658.26,9030180.276,8629789.989,9313957.694,6995271.389
">sp|P26440|IVD_HUMAN Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=IVD PE=1 SV=1",human,dia,179463.1328,246539.9445,174613.1983,141188.9406,293535.2056,342884.6898,76192.09593,227753.0855,226977.1448,292248.5291,169179.9261,333749.7957,317966.9285,361685.1717,350209.805,258628.8499
>sp|P26583|HMGB2_HUMAN High mobility group protein B2 OS=Homo sapiens GN=HMGB2 PE=1 SV=2,human,dia,355369.8831,491758.6644,400536.3279,461831.7963,479690.8489,357018.6318,313637.4258,456909.541,341345.4192,440957.5905,348649.8787,405313.9461,410470.4461,574728.7003,373069.444,506724.1825
>sp|P26599|PTBP1_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1,human,dia,8206585.16,7621410.744,8251047.312,7695111.807,6730826.911,7867998.631,9100825.703,7298953.08,8509092.742,8085772.841,7996539.723,8039809.59,7199321.915,7239880.534,8328155.151,8186035.819
">sp|P26639|SYTC_HUMAN Threonine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3",human,dia,4527892.024,4444975.822,4831684.367,4408820.666,3598078.843,3453119.33,4397501.733,3740408.625,3950848.369,3933569.624,4281202.989,3788752.616,4187457.795,3897541.325,4553389.983,4545710.578
>sp|P26640|SYVC_HUMAN Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=1 SV=4,human,dia,3663891.455,3998185.014,3672449.797,3968090.064,3996430.146,4375099.298,3911791.44,4443089.848,3909913.722,4245712.511,4089565.987,4627708.704,3747360.579,4151299.996,3991783.319,3636829.313
>sp|P26641|EF1G_HUMAN Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,human,dia,12703294.96,12520629.65,13132557.51,13395796.14,12962476.71,12484547.71,13019665.3,12824481.9,12442083.66,12852134.1,13599815.63,11740009.06,13404007.8,14134378.5,14260741.42,13291256.14
>sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens GN=FKBP2 PE=1 SV=2,human,dia,384379.5234,448617.6851,326377.7586,369854.0806,328829.9264,394803.2682,403457.8222,420757.6229,286305.5694,502197.2045,297102.7707,401002.8061,297792.655,448249.4548,444335.7967,357976.3683
>sp|P27105|STOM_HUMAN Erythrocyte band 7 integral membrane protein OS=Homo sapiens GN=STOM PE=1 SV=3,human,dia,71181.50781,47852.03398,98147.44893,49766.06019,84863.62525,54318.64374,55372.46593,74945.62913,92547.87328,52935.05003,79216.29878,73423.86972,91449.26138,74987.19623,84722.46089,90281.87432
>sp|P27348|1433T_HUMAN 14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1,human,dia,3977597.277,4675501.657,4078625.132,4760159.111,4555019.529,4125684.35,4031332.659,4933711.367,5018613.696,3762084.594,3866838.857,3708471.106,3979368.012,4104900.764,4110993.739,4314809.395
>sp|P27635|RL10_HUMAN 60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=4,human,dia,2413529.055,2124375.848,2204218.71,2497104.642,1766438.107,2559033.276,2090222.133,2571091.658,1997719.865,2435420.923,2455855.686,2526892.696,2379377.558,2407214.771,2181508.947,2769521.382
>sp|P27694|RFA1_HUMAN Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2,human,dia,204377.8985,301942.2876,307794.9046,293188.9739,227690.5742,286746.8678,309931.2375,214974.7754,275101.1443,314004.0737,295918.9308,272987.2188,311175.7972,313045.9686,301727.7132,262902.3527
>sp|P27695|APEX1_HUMAN DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2,human,dia,2318154.356,2247892.045,2837053.622,2570439.935,2472851.351,2466828.193,2882944.343,2372343.936,2637656.54,2618965.662,3094191.077,2817103.148,2807528.343,2947591.507,2596166.254,3079536.622
>sp|P27708|PYR1_HUMAN CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3,human,dia,1872097.563,2080920.189,2408878.479,2391209.537,2286612.388,2185197.493,2383092.891,2196592.546,2058623.738,2272593.515,2222834.176,2223880.409,1968310.883,2228395.563,2472563.404,2163274.048
>sp|P27797|CALR_HUMAN Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1,human,dia,5773877.818,6265295.04,6877104.331,6745482.172,6255065.916,5822753.986,6077196.617,6334280.486,6670433.047,6334975.95,6950952.465,6140737.418,6839353.296,7198021.973,6562403.226,6715950.986
>sp|P27816|MAP4_HUMAN Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3,human,dia,850701.8751,943133.5914,878516.7384,1016463.94,1098598.877,958026.6762,946103.5466,979220.1882,1065236.08,873497.9991,1005345.68,928068.0043,1041994.403,1098470.639,916347.9894,977523.7837
>sp|P27824|CALX_HUMAN Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,human,dia,9982244.785,12279168.51,11081873.88,11130022.4,9850323.099,10444544.2,11735194,11786136.6,11875840.49,10176951.86,11679500.44,10588596.9,11477176.1,10185022.75,10528705.27,10375679.65
>sp|P28066|PSA5_HUMAN Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3,human,dia,2896663.914,3143789.968,3076387.094,2899808.054,3533233.111,3030625.624,3033904.472,3231357.023,2688362.439,2883429.931,2786175.229,2766894.916,3176447.318,3026623.533,3035223.563,3055867.795
>sp|P28070|PSB4_HUMAN Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4,human,dia,911532.9375,1131773.78,1489609.185,1371392.759,1439839.028,1354697.74,1597270.957,1168912.131,1624231.809,1459962.791,1420528.933,1044674.953,1702428.562,1206720.066,1388248.003,1632158.444
>sp|P28072|PSB6_HUMAN Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4,human,dia,1213988.707,895017.6554,1075299.635,941429.0913,872504.3701,903823.3915,1032118.109,1061265.337,1044234.382,915502.2464,1091608.588,930909.3889,1212167.529,1235856.878,915739.871,988215.1767
>sp|P28074|PSB5_HUMAN Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3,human,dia,2439948.738,2537582.725,2443599.292,2345451.714,1963042.286,1981808.257,1928688.155,1820665.725,2380779.56,1862845.603,2082105.412,2263261.072,2041125.407,2281473.488,2629072.791,2123449.722
>sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1,human,dia,64730.31055,78776.45542,99118.2152,36300.58586,93052.8655,105125.1951,73075.16793,71549.78524,66362.83818,127465.3156,88890.79364,100430.2867,101890.1296,110211.77,85442.06651,87670.00908
">sp|P28331|NDUS1_HUMAN NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3",human,dia,650031.1468,413938.0324,573099.3518,543733.2375,493220.1781,490751.6758,464098.7206,712056.7729,398057.8585,589084.4707,445248.6122,510811.7506,634271.292,546689.7177,674039.3727,457053.5761
>sp|P28482|MK01_HUMAN Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3,human,dia,615215.8633,591935.6393,608517.4021,530172.6398,503975.2091,472089.9489,585142.8414,636948.9639,607404.0521,632900.3361,604740.0977,638105.0341,563613.2445,616610.8562,629462.532,625428.8435
>sp|P28676|GRAN_HUMAN Grancalcin OS=Homo sapiens GN=GCA PE=1 SV=2,human,dia,223647.1563,255953.6741,258258.9202,243387.3457,246106.4308,260298.4669,295083.5441,264299.3956,200799.53,291821.8779,225555.7706,237886.6631,253824.6285,267388.1375,334662.3058,287317.6005
>sp|P28838|AMPL_HUMAN Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 PE=1 SV=3,human,dia,921758.9296,1004129.199,1116897.662,1083589.645,1188829.28,924183.2707,1035696.494,963886.1647,1149122.471,1017347.793,1165387.777,1030283.347,1168134.401,1002001.828,1000748.056,1042382.718
>sp|P29083|T2EA_HUMAN General transcription factor IIE subunit 1 OS=Homo sapiens GN=GTF2E1 PE=1 SV=2,human,dia,73072.76563,53406.62644,50373.24773,50614.29358,46846.92447,46852.21212,32493.12314,39939.35077,38271.81105,62029.27199,38985.59403,65132.53139,62953.66026,57574.93124,65305.66177,65975.45205
>sp|P29084|T2EB_HUMAN Transcription initiation factor IIE subunit beta OS=Homo sapiens GN=GTF2E2 PE=1 SV=1,human,dia,17551.88672,26149.9971,31294.71997,23725.10708,26319.11879,33636.07654,41061.96424,35854.12593,34374.99189,39581.68852,33480.85205,27881.80553,22337.82374,32159.75531,31814.1432,32984.43181
>sp|P29144|TPP2_HUMAN Tripeptidyl-peptidase 2 OS=Homo sapiens GN=TPP2 PE=1 SV=4,human,dia,45045.65234,40994.97339,37198.97793,45283.47905,37605.11895,54416.4835,44839.18494,34056.95947,57896.53843,43969.37813,53290.90906,21858.60752,41571.678,24168.16219,49472.05929,51099.54534
>sp|P29372|3MG_HUMAN DNA-3-methyladenine glycosylase OS=Homo sapiens GN=MPG PE=1 SV=3,human,dia,104114.9492,99534.54339,83796.55326,104749.3785,73054.0011,109032.2883,137087.5073,124042.3337,153603.6658,160655.6232,145240.1963,140995.9185,128137.1113,124742.417,156337.6467,151274.0492
>sp|P29373|RABP2_HUMAN Cellular retinoic acid-binding protein 2 OS=Homo sapiens GN=CRABP2 PE=1 SV=2,human,dia,5446590.672,5239746.171,5486392.38,5406315.588,4951657.653,4737773.84,5343932.463,5161819.154,5525666.593,5754955.396,4536815.457,5177117.913,4991858.722,5098298.95,5271046.718,5138336.086
>sp|P29401|TKT_HUMAN Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3,human,dia,18179928.68,18927740.83,17771999.09,16670384.08,16433471.11,17725087.61,15671227.49,16634104.88,19109648.79,16323147.06,16822134.26,16894677.35,16280307.72,16295872.1,15855995.69,17798792.16
>sp|P29508|SPB3_HUMAN Serpin B3 OS=Homo sapiens GN=SERPINB3 PE=1 SV=2,human,dia,654.7927856,521.8627115,95832.89724,106492.0557,85502.80818,54735.38677,70034.44761,NA,69384.91508,83744.25648,1737.758602,112717.0966,88201.97656,2036.504437,772.7201584,1292.204517
>sp|P29692|EF1D_HUMAN Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5,human,dia,6701201.391,6707515.388,6035810.978,5835116.186,5361747.982,5837453.986,5806301.351,7609936.676,6651407.872,7892364.212,5821715.873,6194418.32,5712720.843,5880791.429,5773046.164,5809200.682
>sp|P29966|MARCS_HUMAN Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4,human,dia,163329.7852,122001.7317,225054.6035,157708.6399,114052.1013,170283.585,141422.9104,153430.9948,161556.8779,99555.32362,148682.6488,120036.0148,162261.282,128708.9709,178578.7704,176838.5988
">sp|P30038|AL4A1_HUMAN Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH4A1 PE=1 SV=3",human,dia,251263.0547,177411.4553,246901.3402,179194.5946,292928.4851,185438.9584,168115.102,233375.1495,254683.9591,193639.7771,323002.883,186753.3998,314159.8419,197992.5936,265059.1465,199111.3051
>sp|P30040|ERP29_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4,human,dia,8048225.367,7191631.217,7064928.568,9456994.323,8945855.321,9010506.568,8142267.188,8572980.929,8349128.935,8444971.7,8343329.811,9574732.371,8638288.86,8230096.825,7141553.533,7500954.161
>sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3,human,dia,6620059.674,8268737.582,7297610.994,7979110.784,7038677.282,5871230.078,7227689.029,8292281.111,7732816.243,7278968.707,7488293.008,7619375.216,6216888.202,7379404.225,7727643.699,7386393.95
">sp|P30042|ES1_HUMAN ES1 protein homolog, mitochondrial OS=Homo sapiens GN=C21orf33 PE=1 SV=3",human,dia,1946931.783,1842329.475,1595840.611,1693043.386,1785304.634,1523750.951,1922295.643,1924449.597,1703176.45,1781320.211,1289498.675,1986415.59,1939793.943,1954896.513,1748936.014,1857871.404
>sp|P30043|BLVRB_HUMAN Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3,human,dia,4140324.281,3066539.445,3089645.108,2987295.741,2432748.642,3008625.532,3259458.608,4224218.268,3367399.106,3081248.48,3779116.662,3647223.345,3017039.41,3426540.619,2632672.52,3588214.469
">sp|P30044|PRDX5_HUMAN Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4",human,dia,5521052.992,4887282.268,5375833.25,5134270.399,4953347.277,5261591.399,6016395.213,6001464.576,4508449.625,5353987.503,4847034.666,5317831.81,5238716.884,4541154.388,5429583.248,5315464.682
>sp|P30046|DOPD_HUMAN D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3,human,dia,2372000.402,1972375.871,2318374.734,1862656.734,2312482.904,2675741.064,2691921.411,2303114.857,2271154.244,2236988.908,2179754.161,2065518.378,1978795.089,2085217.828,2199041.358,2136205.348
">sp|P30048|PRDX3_HUMAN Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens GN=PRDX3 PE=1 SV=3",human,dia,4236009.914,4498706.818,4445776.416,4864422.683,4591466.129,5269896.126,4126102.61,4675831.146,4127827.952,5074388.984,5460890.179,4825402.499,5862507.651,4550766.279,4340815.939,4416728.708
">sp|P30049|ATPD_HUMAN ATP synthase subunit delta, mitochondrial OS=Homo sapiens GN=ATP5D PE=1 SV=2",human,dia,959396.0195,794827.7073,907300.9629,1030484.983,1156244.441,958466.9306,850616.231,900989.4381,1237479.13,773001.1894,1191833.948,1156580.359,1381113.976,829151.9382,1008867.396,1107578.178
>sp|P30050|RL12_HUMAN 60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,human,dia,4929901.945,4395348.167,4242461.916,4146117.636,3385590.214,5717459.821,5419418.463,5518034.843,4723593.164,4448335.274,3322148.877,5478641.523,3429956.133,4243167.692,4450575.465,5010203.384
">sp|P30084|ECHM_HUMAN Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=ECHS1 PE=1 SV=4",human,dia,6330342.973,6274840.1,6634765.903,6865233.222,6523248.483,6513322.233,6199863.959,6911895.159,6786292.625,5666806.071,6272262.437,6802930.207,6188987.927,6084877.581,6197412.98,6501164.232
>sp|P30085|KCY_HUMAN UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3,human,dia,683701.8926,643446.12,590179.2765,456742.9602,596206.3056,713333.4887,733978.2079,681325.8477,597658.0352,361655.2091,652896.6531,716748.5411,493878.9446,447336.4919,630376.0131,476633.973
>sp|P30086|PEBP1_HUMAN Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3,human,dia,5338437.016,5452621.359,4953110.975,5005602.691,4779388.971,5023853.854,5226294.73,5241430.838,4419909.834,4669781.138,5247330.783,5333040.62,4340071.45,4766342.093,5067141.086,5370379.036
>sp|P30101|PDIA3_HUMAN Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,human,dia,14139272.85,16598855.78,15809948.17,16232078.21,13633273.19,15646968.41,17235014.12,17505095.78,17779981.4,17773508.41,16234996.33,16440795.98,15752980.62,17567147.27,16411440,17696146.49
>sp|P30153|2AAA_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4,human,dia,4831471.049,5046202.456,5062850.134,5229201.772,4777981.224,5862155.693,5468268.734,5134025.19,5601393.628,5967783.841,5739858.524,5413509.346,5655850.658,5111486.205,5421597.999,5556800.276
">sp|P30405|PPIF_HUMAN Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens GN=PPIF PE=1 SV=1",human,dia,243114.3696,323795.5682,350155.2371,358199.4288,236336.8748,208065.197,304715.1858,247430.4044,298799.0561,168858.7171,305848.3473,234340.9822,218998.0536,299008.8338,287190.221,277007.5748
>sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1 PE=1 SV=2,human,dia,511406.3438,380998.7267,606884.0291,423834.1839,568859.7778,623954.9408,494859.386,620456.2484,532862.6453,513170.457,531220.0899,457001.4667,562505.9971,535663.5318,505142.6887,405444.5916
